ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness
691505,Lenk - Metsch - Metschmaad - Bühlberg - Lenk,1 - easy,Cycling,12.48,01:40,591,1068,1659,1,2
131149,Wilderswil - Breitlauenen,2 - medium,Hiking,5.19,03:00,959,583,1542,2,3
94291,Pont des Anabaptistes - geschichtsträchtiger Ort im Jura,0 - no rating,Hiking,11.9,03:10,358,1133,1397,0,0
48799,Moosegg: Inbegriff von Aussicht und Gastlichkeit,2 - medium,Hiking,10.07,03:20,460,676,1115,2,4
51621,Durch eine eindrückliche Klus,3 - difficult,Hiking,18.57,05:40,568,525,1037,3,5
51190,Über Juraweiden hart an der Sprachgrenze,1 - easy,Hiking,11.35,03:30,552,708,1118,2,2
50926,Frei wie ein Vogel über der Lenk,3 - difficult,Hiking,13.26,05:40,1300,1014,2079,5,5
795211,Alpenruhe - Bärenpfad - Wildwasserweg - Tschingel,1 - easy,Thematic route,6.63,02:15,319,1133,1443,0,2
114220,Zum Aussichtsturm auf dem Moron,0 - no rating,Hiking,10.37,03:20,605,717,1321,0,0
501843,Rund um Bönigen,2 - medium,Running,9.86,01:33,98,564,661,1,3
733527,Einzigartig: der neue Gäggersteg,1 - easy,Hiking,13.36,04:00,510,1531,1720,2,2
296938,Der Ringweg am kleinen Rugen,1 - easy,Thematic route,3.35,00:58,84,572,655,1,2
114208,Zur Hohwacht im Oberaargau,2 - medium,Hiking,13.19,03:40,460,539,779,2,3
812685,Oberer Wasserfall,2 - medium,Hiking,2.95,01:10,242,1738,1974,3,4
131161,Harder Kulm Rundweg,1 - easy,Hiking,2.78,01:02,154,1293,1443,1,2
100884,Schüpfeflue - zum Gantrisch Panorama,0 - no rating,Hiking,10.74,03:25,442,1311,1693,0,0
277600,Alternative Bad Weather Walk: Kandersteg to Blausee,1 - easy,Hiking,5.1,02:00,15,897,1488,1,1
156818,Luzerner Weg: Huttwil - Burgdorf,3 - difficult,Pilgrimage,23.42,06:36,404,533,858,0,5
211600,"Helsana Trail: Schönried - Saanenmöser - Schönried, grün",2 - medium,Trailrunning,6.33,01:15,119,1229,1348,2,3
482340,"Swiss Trail Tour Lenk, Strecke Ultra, Samstag 2019",3 - difficult,Trailrunning,46.54,09:38,2372,1010,2108,4,6
870923,Alpine Bike 1 -  Kiental- Frutigen - Adelboden - Lenk,0 - no rating,Mountainbike,43.51,06:15,1496,761,1951,0,0
50315,«Den Niesen geniesen»,3 - difficult,Hiking,9.27,05:15,1712,631,2343,4,6
199823,Course de la solidarité,0 - no rating,Trailrunning,10.22,01:40,100,801,894,0,0
81700,Geschichte und Technik im Niedersimmental,2 - medium,Hiking,7.04,02:30,542,746,1066,3,3
595654,Schönried Ermitage Rellerli Panoramawanderung,2 - medium,Hiking,11.33,04:00,645,1222,1861,2,4
707098,Rotengraben - Wintermatte - Heubergtal - Wintermatte - Rotengraben,2 - medium,Hiking,13.6,04:20,625,1372,1988,0,3
51169,Durch Berns Kornkammer,2 - medium,Hiking,16.44,04:00,344,495,609,1,3
114216,Dem Gäbelbach entlang zum Wohlensee,1 - easy,Hiking,13.34,03:40,283,481,626,2,2
823103,Saaner Fiirabe Rundi,1 - easy,Mountainbike,5.09,01:00,167,1007,1164,2,2
51188,Rund ums Naturschutzgebiet Häftli,2 - medium,Hiking,13.88,03:30,106,426,445,2,3
586723,Rundtour auf abenteuerlichen Wegen,2 - medium,Hiking,5.9,03:00,630,1357,1919,4,3
50425,An stolzen Bauernsitzen vorüber durch den südlichen Oberaargau,2 - medium,Hiking,14.41,04:00,550,585,834,2,3
133926,Blueme,2 - medium,Mountainbike,29.74,02:20,869,558,1390,3,3
172154,Panoramatrail Faltschen,2 - medium,Mountainbike,29.01,02:30,846,692,1223,2,3
348123,Meienberg – Rundwanderung Seebergsee - Meienberg,2 - medium,Hiking,7.12,02:30,322,1769,1923,3,3
162740,Höhenweg Entlebuch Emmental - Etappe 3: Turner - Trubschachen,0 - no rating,Hiking,6.76,01:52,3,732,1165,0,0
49031,Zur Aussichtswarte Lueg (Heiligenlandhubel),2 - medium,Hiking,9.21,02:45,299,599,854,2,3
48808,Bergsee-Paradies am Stockhorn,2 - medium,Hiking,6.17,02:20,430,1596,1798,3,3
247242,Cable car to Wispile. Walk to Lauenensee,1 - easy,Hiking,9.58,02:15,142,1381,1920,2,2
131629,"""Via Alpina: Gstaad - LEtivaz""",3 - difficult,Hiking,15.89,06:00,1059,1041,1953,2,6
