ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness
129549,Bornkänzeli,2 - medium,Hiking,10.3,03:00,318,392,665,2,3
120900,Habsburger Weg 4. Etappe: Baden - Mellingen,2 - medium,Hiking,8.41,02:14,107,349,489,1,3
129607,Aarelauf,2 - medium,Hiking,11.34,02:30,75,391,428,2,3
280170,Veloroute Limmattal,2 - medium,Cycling,46.27,03:22,327,348,554,2,4
129555,Mättenwilerkehr,1 - easy,Hiking,9.27,02:15,182,427,544,1,2
961881,Hüslischnegg am Asperstrihen,2 - medium,Hiking,5.0,01:23,173,670,804,3,3
129565,Mosersagi,2 - medium,Hiking,8.63,02:30,282,431,663,2,3
129552,Am Chilchberger Waldrand,1 - easy,Hiking,8.21,03:00,234,447,566,1,2
581892,"Rundwanderung Seengen, Aargau",1 - easy,Hiking,15.0,03:44,380,481,715,1,3
205242,Walking Trail 1 Lenzburg,0 - no rating,Nordic Walking,10.68,02:28,207,398,537,0,0
129609,Lindensteak,2 - medium,Hiking,11.43,02:30,307,431,637,2,3
129612,Martinsgrabe,1 - easy,Hiking,6.45,01:30,211,431,595,1,2
294700,Skulpturenweg Dietwil,0 - no rating,Thematic route,4.69,01:16,89,436,523,0,0
133127,Waldlehrpfad Emauswald,1 - easy,Thematic route,3.91,01:00,46,380,400,0,2
133125,Schönes Jonental,1 - easy,Hiking,4.91,01:30,110,397,470,1,2
294701,Murimoosweg,0 - no rating,Thematic route,3.16,00:47,12,435,447,0,0
129642,Aareblick,1 - easy,Hiking,9.41,02:30,57,397,428,2,2
563436,Remetschwil-Hägglingen leicht,1 - easy,E-MTB,23.78,-,366,353,558,2,3
280171,Veloroute Knonaueramt,2 - medium,Cycling,48.19,03:35,430,380,554,2,4
120809,Auf den Spuren der Hugenotten,1 - easy,Thematic route,6.54,01:45,102,397,508,0,2
120853,Höhenfahrten im Wynental,2 - medium,Cycling,25.36,02:15,560,496,781,2,3
120909,Zwischen Geschichte und Sagen,2 - medium,Hiking,13.41,03:30,95,433,484,1,3
280159,Freiämter Veloweg,2 - medium,Cycling,66.99,06:00,270,360,493,1,3
120827,Liebegger Infopfad,1 - easy,Thematic route,3.77,02:00,128,428,531,0,2
129557,Stübisberg,1 - easy,Hiking,7.96,02:00,115,441,675,2,2
476486,Tüfels Keller und Kindermuseum Baden,2 - medium,Hiking,11.07,03:06,274,347,788,0,4
130819,Industrieweg Aabach: Etappe Lenzburg - Wildegg,1 - easy,Thematic route,6.21,02:30,31,352,406,0,2
254338,Horben - Sulzer Kreuz - Horben,1 - easy,Hiking,6.12,01:37,77,796,858,0,2
129562,Fähre,1 - easy,Hiking,6.8,02:15,39,400,414,1,2
296990,St. Burkards-Pilgerweg in Beinwil/Freiamt,0 - no rating,Pilgrimage,2.13,00:34,27,551,578,0,0
129553,Hochwacht,2 - medium,Hiking,9.09,02:30,258,431,644,2,3
120810,Mit Perimuk zum Haselbrünneli,1 - easy,Thematic route,5.13,02:30,251,390,619,0,2
174253,Die Wynentaler Hügeltour,2 - medium,Mountainbike,35.65,03:00,650,458,711,1,3
120851,Zwischen Natur und Kultur im Freiamt,2 - medium,Cycling,36.93,02:15,248,360,493,2,3
613190,Kulturweg Limmat,1 - easy,Thematic route,8.82,02:36,39,350,388,0,2
129644,Glashütten,1 - easy,Hiking,9.3,02:30,162,425,502,2,2
541521,"Seengen, Schloss Hallwyl - Sarmenstorf - Bettwil - Oberschongau - Horben, Tageswanderung vom Schloss Hallwyl auf den Lindenberg zum Horben",0 - no rating,Hiking,18.98,05:04,387,448,835,0,0
129559,Wigger-Schlössli,2 - medium,Hiking,11.99,03:00,333,431,656,2,3
120867,Mit der Familie im Freiamt,1 - easy,Cycling,21.62,02:00,167,368,466,2,2
182404,Rund um den Baldeggersee,2 - medium,Mountainbike,36.22,03:24,447,449,809,1,3
129608,St. Urban,2 - medium,Hiking,10.34,02:30,234,408,591,2,3
120814,Habsburger Weg 1. Etappe: Seengen - Wildegg,2 - medium,Hiking,15.55,04:02,176,354,487,1,3
559481,Rund un Fischbach-Göslikon,1 - easy,Hiking,6.58,01:42,70,356,426,0,2
129564,Hagart,1 - easy,Hiking,6.83,02:00,225,431,650,1,2
120932,Aussichtsreiche Bergroute,2 - medium,Cycling,46.69,04:15,584,384,776,2,4
120843,Nord-Süd-Route im Suhrental,2 - medium,Cycling,30.71,02:15,122,383,498,2,3
467833,Staffelegg - Ruine Schenkenberg - Thalheim,1 - easy,Hiking,7.2,02:01,156,446,755,2,2
129624,Rundwanderung Engelberg,2 - medium,Hiking,11.17,03:30,283,395,702,1,3
897134,PanoramatourAG-Strihen-ZeiherHomberg,1 - easy,Mountainbike,25.29,01:31,756,438,740,1,1
427191,"Leimbach AG, CH Hombergtour",1 - easy,Mountainbike,11.03,01:05,281,510,784,1,2
671212,Eichberg,2 - medium,E-MTB,50.63,03:21,1083,370,712,4,6
735245,"Leutwil, Aargau",1 - easy,Hiking,8.0,02:34,84,700,771,2,2
133117,Birmenstorfer Naturlehrpfad,1 - easy,Thematic route,1.88,01:00,95,399,496,0,2
559319,Altberg mit Singeltrail,1 - easy,Mountainbike,24.82,01:51,353,405,625,2,2
280935,Der Weg der Heiligen Bernarda in Auw,1 - easy,Thematic route,1.56,01:00,15,479,497,0,1
129620,bikingZofingenregio_Lättentour,2 - medium,Mountainbike,36.46,03:00,805,436,747,3,4
580172,"Rundwanderung im Seetal Beinwil am See, Aargau",1 - easy,Hiking,9.73,02:10,232,515,690,1,3
628639,Walking Trail 2 Lenzburg,0 - no rating,Nordic Walking,9.16,02:06,141,398,507,0,0
129634,bikingZofingenregio_challengeTour,3 - difficult,Mountainbike,89.03,08:00,1716,391,702,4,6
545906,Wettingen-Lägern Hochwacht,2 - medium,Mountainbike,22.41,01:57,487,409,851,3,4
624204,hajamithi Frick,1 - easy,Hiking,16.78,03:50,447,410,604,1,2
129632,bikingZofingenregio_Boowald-Tour,1 - easy,Mountainbike,24.37,02:00,206,414,565,2,2
543430,Seiten-Moränen-Tour Schöftland,2 - medium,Mountainbike,26.87,01:40,618,448,679,3,4
836001,Aargauer Tour,2 - medium,Mountainbike,56.69,03:45,1050,353,737,3,4
757496,Rundkurs mit Start & Ende in Endingen,1 - easy,Hiking,12.41,02:52,275,400,621,1,4
129628,Auenlandschaft Ruppoldingen,1 - easy,Hiking,4.4,01:00,5,391,402,1,2
