ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness,region
129549,Bornkänzeli,2 - medium,Hiking,10.3,03:00,318,392,665.0,2,3,aargau
120900,Habsburger Weg 4. Etappe: Baden - Mellingen,2 - medium,Hiking,8.41,02:14,107,349,489.0,1,3,aargau
129607,Aarelauf,2 - medium,Hiking,11.34,02:30,75,391,428.0,2,3,aargau
280170,Veloroute Limmattal,2 - medium,Cycling,46.27,03:22,327,348,554.0,2,4,aargau
129555,Mättenwilerkehr,1 - easy,Hiking,9.27,02:15,182,427,544.0,1,2,aargau
961881,Hüslischnegg am Asperstrihen,2 - medium,Hiking,5.0,01:23,173,670,804.0,3,3,aargau
129565,Mosersagi,2 - medium,Hiking,8.63,02:30,282,431,663.0,2,3,aargau
129552,Am Chilchberger Waldrand,1 - easy,Hiking,8.21,03:00,234,447,566.0,1,2,aargau
581892,Rundwanderung Seengen- Aargau,1 - easy,Hiking,15.0,03:44,380,481,715.0,1,3,aargau
205242,Walking Trail 1 Lenzburg,0 - no rating,Nordic Walking,10.68,02:28,207,398,537.0,0,0,aargau
129609,Lindensteak,2 - medium,Hiking,11.43,02:30,307,431,637.0,2,3,aargau
129612,Martinsgrabe,1 - easy,Hiking,6.45,01:30,211,431,595.0,1,2,aargau
294700,Skulpturenweg Dietwil,0 - no rating,Thematic route,4.69,01:16,89,436,523.0,0,0,aargau
133127,Waldlehrpfad Emauswald,1 - easy,Thematic route,3.91,01:00,46,380,400.0,0,2,aargau
133125,Schönes Jonental,1 - easy,Hiking,4.91,01:30,110,397,470.0,1,2,aargau
294701,Murimoosweg,0 - no rating,Thematic route,3.16,00:47,12,435,447.0,0,0,aargau
129642,Aareblick,1 - easy,Hiking,9.41,02:30,57,397,428.0,2,2,aargau
563436,Remetschwil-Hägglingen leicht,1 - easy,E-MTB,23.78,-,366,353,558.0,2,3,aargau
280171,Veloroute Knonaueramt,2 - medium,Cycling,48.19,03:35,430,380,554.0,2,4,aargau
120809,Auf den Spuren der Hugenotten,1 - easy,Thematic route,6.54,01:45,102,397,508.0,0,2,aargau
120853,Höhenfahrten im Wynental,2 - medium,Cycling,25.36,02:15,560,496,781.0,2,3,aargau
120909,Zwischen Geschichte und Sagen,2 - medium,Hiking,13.41,03:30,95,433,484.0,1,3,aargau
280159,Freiämter Veloweg,2 - medium,Cycling,66.99,06:00,270,360,493.0,1,3,aargau
120827,Liebegger Infopfad,1 - easy,Thematic route,3.77,02:00,128,428,531.0,0,2,aargau
129557,Stübisberg,1 - easy,Hiking,7.96,02:00,115,441,675.0,2,2,aargau
476486,Tüfels Keller und Kindermuseum Baden,2 - medium,Hiking,11.07,03:06,274,347,788.0,0,4,aargau
130819,Industrieweg Aabach: Etappe Lenzburg - Wildegg,1 - easy,Thematic route,6.21,02:30,31,352,406.0,0,2,aargau
254338,Horben - Sulzer Kreuz - Horben,1 - easy,Hiking,6.12,01:37,77,796,858.0,0,2,aargau
129562,Fähre,1 - easy,Hiking,6.8,02:15,39,400,414.0,1,2,aargau
296990,St. Burkards-Pilgerweg in Beinwil/Freiamt,0 - no rating,Pilgrimage,2.13,00:34,27,551,578.0,0,0,aargau
129553,Hochwacht,2 - medium,Hiking,9.09,02:30,258,431,644.0,2,3,aargau
120810,Mit Perimuk zum Haselbrünneli,1 - easy,Thematic route,5.13,02:30,251,390,619.0,0,2,aargau
174253,Die Wynentaler Hügeltour,2 - medium,Mountainbike,35.65,03:00,650,458,711.0,1,3,aargau
120851,Zwischen Natur und Kultur im Freiamt,2 - medium,Cycling,36.93,02:15,248,360,493.0,2,3,aargau
613190,Kulturweg Limmat,1 - easy,Thematic route,8.82,02:36,39,350,388.0,0,2,aargau
129644,Glashütten,1 - easy,Hiking,9.3,02:30,162,425,502.0,2,2,aargau
541521,Seengen- Schloss Hallwyl - Sarmenstorf - Bettwil - Oberschongau - Horben- Tageswanderung vom Schloss Hallwyl auf den Lindenberg zum Horben,0 - no rating,Hiking,18.98,05:04,387,448,835.0,0,0,aargau
129559,Wigger-Schlössli,2 - medium,Hiking,11.99,03:00,333,431,656.0,2,3,aargau
120867,Mit der Familie im Freiamt,1 - easy,Cycling,21.62,02:00,167,368,466.0,2,2,aargau
182404,Rund um den Baldeggersee,2 - medium,Mountainbike,36.22,03:24,447,449,809.0,1,3,aargau
129608,St. Urban,2 - medium,Hiking,10.34,02:30,234,408,591.0,2,3,aargau
120814,Habsburger Weg 1. Etappe: Seengen - Wildegg,2 - medium,Hiking,15.55,04:02,176,354,487.0,1,3,aargau
559481,Rund un Fischbach-Göslikon,1 - easy,Hiking,6.58,01:42,70,356,426.0,0,2,aargau
129564,Hagart,1 - easy,Hiking,6.83,02:00,225,431,650.0,1,2,aargau
120932,Aussichtsreiche Bergroute,2 - medium,Cycling,46.69,04:15,584,384,776.0,2,4,aargau
120843,Nord-Süd-Route im Suhrental,2 - medium,Cycling,30.71,02:15,122,383,498.0,2,3,aargau
467833,Staffelegg - Ruine Schenkenberg - Thalheim,1 - easy,Hiking,7.2,02:01,156,446,755.0,2,2,aargau
129624,Rundwanderung Engelberg,2 - medium,Hiking,11.17,03:30,283,395,702.0,1,3,aargau
897134,PanoramatourAG-Strihen-ZeiherHomberg,1 - easy,Mountainbike,25.29,01:31,756,438,740.0,1,1,aargau
427191,Leimbach AG- CH Hombergtour,1 - easy,Mountainbike,11.03,01:05,281,510,784.0,1,2,aargau
671212,Eichberg,2 - medium,E-MTB,50.63,03:21,1083,370,712.0,4,6,aargau
735245,Leutwil- Aargau,1 - easy,Hiking,8.0,02:34,84,700,771.0,2,2,aargau
133117,Birmenstorfer Naturlehrpfad,1 - easy,Thematic route,1.88,01:00,95,399,496.0,0,2,aargau
559319,Altberg mit Singeltrail,1 - easy,Mountainbike,24.82,01:51,353,405,625.0,2,2,aargau
280935,Der Weg der Heiligen Bernarda in Auw,1 - easy,Thematic route,1.56,01:00,15,479,497.0,0,1,aargau
129620,bikingZofingenregio_Lättentour,2 - medium,Mountainbike,36.46,03:00,805,436,747.0,3,4,aargau
580172,Rundwanderung im Seetal Beinwil am See- Aargau,1 - easy,Hiking,9.73,02:10,232,515,690.0,1,3,aargau
628639,Walking Trail 2 Lenzburg,0 - no rating,Nordic Walking,9.16,02:06,141,398,507.0,0,0,aargau
129634,bikingZofingenregio_challengeTour,3 - difficult,Mountainbike,89.03,08:00,1716,391,702.0,4,6,aargau
545906,Wettingen-Lägern Hochwacht,2 - medium,Mountainbike,22.41,01:57,487,409,851.0,3,4,aargau
624204,hajamithi Frick,1 - easy,Hiking,16.78,03:50,447,410,604.0,1,2,aargau
129632,bikingZofingenregio_Boowald-Tour,1 - easy,Mountainbike,24.37,02:00,206,414,565.0,2,2,aargau
543430,Seiten-Moränen-Tour Schöftland,2 - medium,Mountainbike,26.87,01:40,618,448,679.0,3,4,aargau
836001,Aargauer Tour,2 - medium,Mountainbike,56.69,03:45,1050,353,737.0,3,4,aargau
757496,Rundkurs mit Start & Ende in Endingen,1 - easy,Hiking,12.41,02:52,275,400,621.0,1,4,aargau
129628,Auenlandschaft Ruppoldingen,1 - easy,Hiking,4.4,01:00,5,391,402.0,1,2,aargau
464419,Geissberg Runde Jurapark CH,2 - medium,Mountainbike,17.81,01:34,395,381,700.0,3,3,aargau
507875,Winterwanderung,1 - easy,Hiking,14.07,02:52,216,390,506.0,1,3,aargau
525576,Rotberg_Geissberg,2 - medium,Mountainbike,19.3,01:49,509,377,639.0,4,5,aargau
753862,Frick - Fricktaler Höhenweg - Mumpfer Fluh,1 - easy,Hiking,10.59,02:55,398,353,631.0,1,4,aargau
129616,Rottannhubel - Galgenberg,2 - medium,Hiking,11.95,04:00,231,431,648.0,1,3,aargau
661138,Gemütliche Runde im unteren Achenberg,1 - easy,Hiking,3.87,01:16,118,352,462.0,3,3,aargau
476483,Aargauer Kunsthaus und Wildpark Roggenhausen,1 - easy,Hiking,6.28,01:41,121,381,461.0,0,2,aargau
129626,Wissberg - Benzligen,2 - medium,Hiking,12.25,03:00,151,411,503.0,1,3,aargau
129638,bikingZofingenregio_Säli-/Engelberg-Tour,2 - medium,Mountainbike,10.93,01:30,482,406,702.0,4,3,aargau
