ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness
357325,Zum Stahl der Steinzeit,1 - easy,Hiking,8.39,02:00,196,420, 570,1,2
132998,Chellenchöpfli & Passwang,2 - medium,Hiking,9.85,03:00,485,924, 1204,2,3
812811,Wandererlebnis mit dem Bus - Augst - Saline,0 - no rating,Hiking,3.68,01:00,15,255, 271,0,0
548333,Rundwanderung Farnsberg,1 - easy,Hiking,5.88,01:52,213,581, 760,0,2
133037,Römertour: 2000 Jahre Rückblick,3 - difficult,Cycling,62.79,04:30,1046,264, 739,2,5
132993,Zunzgerhard & Obstplantagen,2 - medium,Hiking,9.97,02:45,320,359, 604,1,3
371230,Gempenplateau-Tour,2 - medium,Mountainbike,40.64,03:00,782,257, 730,3,3
548336,Rundwanderung Wildenstein,1 - easy,Hiking,6.52,01:48,113,492, 569,0,2
130967,Olten-Belchen-Langenbruck-Olten,2 - medium,Mountainbike,30.66,04:00,745,391, 1055,2,3
357322,Wahlen - Zum Stürmenchopf,2 - medium,Hiking,7.24,02:30,398,403, 769,2,3
377011,Bike Trail Arlesheim,2 - medium,Mountainbike,11.39,01:15,317,277, 586,3,2
548337,Rundwanderung Chaltbrunnental - Chastelbach,2 - medium,Hiking,7.94,02:23,231,322, 544,3,3
812804,Wandererlebnis mit dem Bus - Lausen - Huppergruben - Liestal,0 - no rating,Hiking,6.08,01:45,149,326, 532,0,0
357320,Ergolztal - Alte und neue Berge,2 - medium,Hiking,16.12,04:30,377,275, 572,2,4
130681,ViaSurprise-Zubringer: Liestal - Reigoldswil,2 - medium,Hiking,16.51,04:30,580,319, 690,1,4
357291,Landwirtschaft (Ausflug in die Vergangenheit),1 - easy,Cycling,27.73,02:00,67,254, 336,0,2
320784,Rundwanderung Chatzenstieg-Huerewägli,2 - medium,Hiking,5.18,01:47,254,924, 1145,0,3
670385,Erlebnisweg passepartout,0 - no rating,Thematic route,10.02,02:48,160,449, 632,0,0
613198,BLKB-Wanderung Sommerau - Giessen-Wisenberg - Ruine Homburg,0 - no rating,Hiking,12.17,03:59,569,431, 1000,0,0
357328,Waldenburg,1 - easy,Hiking,3.76,02:00,285,525, 810,2,2
246771,Rundtour von Aesch via Ruine Pfeffingen und Duggingen,2 - medium,Hiking,8.71,02:45,306,295, 496,2,3
610990,BLKB-Wanderung Reinach - Leywald - Reinach,0 - no rating,Hiking,4.49,01:10,58,307, 364,0,0
132995,Ruinen Wartenberg & Rebenweg,2 - medium,Hiking,7.37,02:00,255,286, 479,1,3
114226,Blütenpracht im Baselbiet,2 - medium,Hiking,12.19,03:35,447,369, 756,2,3
1040682,Von Basel zum Mont Blanc Etappe 4: Laufen – Beinwil,3 - difficult,Hiking,19.76,06:00,569,331, 877,1,5
371235,Ergolz-Tour,2 - medium,Mountainbike,36.36,03:15,953,306, 743,3,3
357321,"""Reigoldswil - Geheimnisse rund ums Horn""",2 - medium,Hiking,11.5,02:30,332,466, 735,1,3
133001,Syydebändel & Rebenweg,2 - medium,Hiking,13.21,03:30,390,370, 574,1,3
548334,Liestaler Aussichtsturm - Sissacherfluh,2 - medium,Hiking,10.3,03:22,556,308, 702,1,3
156872,Basler Weg: Aesch - Beinwil Kloster,3 - difficult,Pilgrimage,20.14,06:16,761,302, 877,0,5
812810,Wandererlebnis mit dem Bus - Reigoldswil - Bubendorf,0 - no rating,Hiking,11.8,03:20,248,372, 691,0,0
357294,Kunst und Unterhaltung (Ausflug in die Vergangenheit),1 - easy,Hiking,2.6,00:40,29,266, 296,0,1
133029,Huppergruben,1 - easy,Hiking,6.54,02:00,267,334, 546,2,2
