ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness
50431,Auf dem Jurahöhenweg,3 - difficult,Hiking,18.32,06:00,1300,530,1602,4,5
131685,Via Alpina: Lenk - Gstaad,3 - difficult,Hiking,21.6,07:30,994,1049,2059,2,6
717203,Boltigen - Feuersteini - Rossberg - Pfaffenried - Boltigen,1 - easy,Cycling,15.91,01:25,405,797,1136,1,2
99380,Stockentaler Hausweg - Blumenstein,2 - medium,Thematic route,13.02,03:30,200,656,782,2,3
586723,Rundtour auf abenteuerlichen Wegen,2 - medium,Hiking,5.9,03:00,630,1357,1919,4,3
50213,Rellerli - Zum beliebten Ausflugsberg,2 - medium,Hiking,9.59,03:30,630,1222,1832,3,4
315061,Interlaken Ost - Harder Kulm,2 - medium,Hiking,4.09,02:30,759,566,1322,2,3
277472,Basler Weg: Fraubrunnen - Bern (Variante A),2 - medium,Pilgrimage,24.48,06:14,160,489,570,0,3
276223,Rund um den Moossee,1 - easy,Hiking,6.47,01:40,90,521,571,2,2
700234,St. Stephan - Dürrewald - Eggmatte - St. Stephan,1 - easy,Cycling,16.84,02:15,684,993,1669,1,2
108493,Längenberger Bauernpfad,1 - easy,Thematic route,4.02,01:30,70,855,920,1,1
709665,Golitschenalp,3 - difficult,Hiking,7.81,05:37,681,1170,1834,5,5
50430,Über den Tessenberg auf den Chasseral,2 - medium,Hiking,10.51,03:45,850,800,1545,3,4
289486,Auf Frühlingswiesen zum idyllischen Gantrischseeli,1 - easy,Hiking,1.8,00:40,120,1505,1614,2,1
311562,Gantrisch-Fribourg-Weg: Rüeggisberg - Schwarzenburg,1 - easy,Pilgrimage,10.37,02:53,189,703,929,0,1
277594,Kandersteg to Gasterntal Valley,2 - medium,Hiking,23.46,07:00,680,1143,1642,1,4
744917,Blausee,1 - easy,Hiking,11.53,03:20,315,888,1186,1,1
573694,Wässermatten zwischen Langenthal und Roggwil,1 - easy,Hiking,5.55,01:25,32,452,491,1,1
131147,Breitlauenen - Schynige Platte,1 - easy,Hiking,2.68,01:30,441,1540,1981,1,2
891220,GFW 15 - Rund ume Frienisberger,0 - no rating,Hiking,14.65,04:20,300,567,818,0,0
277594,Kandersteg to Gasterntal Valley,2 - medium,Hiking,23.46,07:00,680,1143,1642,1,4
707150,Zweisimmen - Mannried - Grubenwald - Seebergsee - Zweisimmen,3 - difficult,Cycling,38.34,04:35,1543,907,1853,1,5
698709,Allmenalp Biketour,2 - medium,Mountainbike,21.14,02:30,677,1170,1789,0,4
700232,Rundtour über den Rüwlispass - Hornberg ins Saanenland und retour,2 - medium,Cycling,31.82,03:25,950,934,1836,2,4
50431,Auf dem Jurahöhenweg,3 - difficult,Hiking,18.32,06:00,1300,530,1602,4,5
850762,St. Stephan Loop,3 - difficult,Mountainbike,30.56,03:15,920,934,1836,5,6
870923,Alpine Bike 1 -  Kiental- Frutigen - Adelboden - Lenk,0 - no rating,Mountainbike,43.51,06:15,1496,761,1951,0,0
51213,Auf Panoramawegen durchs Bipperamt,2 - medium,Hiking,16.53,05:15,862,636,1215,3,4
744928,Lötschberger-Nordrampe,2 - medium,Hiking,17.25,04:50,238,779,1205,3,3
348123,Meienberg – Rundwanderung Seebergsee - Meienberg,2 - medium,Hiking,7.12,02:30,322,1769,1923,3,3
717229,Oberwil - Alp Morgete - Oberwil,3 - difficult,Cycling,21.89,03:15,1010,813,1654,1,5
58522,Schnitzlerweg Axalp,1 - easy,Thematic route,2.61,01:00,170,1521,1639,2,2
