ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness
114264,Isenfluh - Fauteuil des Berner Oberlands,2 - medium,Hiking,8.08,03:10,419,1085,1883,3,4
57280,Der Kander entlang ins Tal der Simme,1 - easy,Hiking,13.87,03:20,130,631,781,2,2
348116,Saanenmöser – Schönried – Gstaad,1 - easy,Hiking,6.97,02:00,9,1049,1274,1,1
288422,Apollo Run (Mürren),2 - medium,Sledge,3.41,00:30,2,1638,2123,4,3
131938,Sonnenweg (Alpen tower - Käserstatt),2 - medium,Hiking,5.69,02:00,96,1830,2233,3,3
51390,Abenteuer Zulggraben,3 - difficult,Hiking,21.08,06:00,820,586,1028,3,5
990998,First - Schwarzhorn - First Nr. 18,3 - difficult,Hiking,9.8,04:50,941,2078,2924,5,4
131689,Rellerli Bike Nr. 890: Saanen - Mittelberg - Rellerli - Saanen,2 - medium,Mountainbike,24.62,03:15,903,1010,1862,3,3
70017,Wetterhorn Trail - Grindelwald,2 - medium,Snowshoe,3.24,01:20,170,1229,1399,3,3
1002580,Schönried - Rellerli - Grossi Vorschess – Schönried,2 - medium,Winter hiking,7.68,02:50,498,1241,1739,3,4
508330,Durch das Wachseldornmoos,1 - easy,Hiking,5.74,01:25,50,905,1009,1,1
131951,Axalphorn,2 - medium,Snowshoe,3.06,04:00,548,1885,2308,0,3
524951,Der Winter Sonnentrail W3,3 - difficult,Trailrunning,17.9,03:15,532,1040,2660,4,5
76710,Allmenalp Klettersteig - Kandersteg,3 - difficult,Via ferrata,1.42,03:30,533,1187,1720,0,3
57566,Sommerfrische im Wilden Westen,1 - easy,Hiking,5.71,01:25,100,555,650,2,1
51254,Auf dem Niesenbänkli erholen sich nicht nur Kurgäste,1 - easy,Hiking,6.05,01:50,180,966,1175,2,2
174602,Wandern am Wasser - Gäbelbach,1 - easy,Hiking,8.24,02:15,30,481,568,1,2
49253,Auf Reben- und Pilgerwegen,2 - medium,Hiking,9.45,03:00,458,432,690,2,3
