ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness
761144,Tour de la Chia,1 - easy,Cycling,23.07,02:00,630,737,1350,1,2
795297,Entre le Lac Léman et La Gruyère,2 - medium,Racing,64.46,03:35,978,710,1260,0,3
183419,Übersicht der Etappen Familien-Routen,1 - easy,Long distance cycling,208.23,14:00,272,428,529,1,1
823054,Tour du Moléson,2 - medium,Mountainbike,41.62,03:30,1026,685,1542,1,3
114252,Rund um die Gastlosen – keine ungastliche Wanderung,2 - medium,Hiking,10.98,04:15,625,1477,1904,4,4
793251,Charmey - Lac Noir - Jaun,2 - medium,Mountainbike,35.45,03:15,1131,855,1580,2,3
247254,The Cheese Trail,2 - medium,Hiking,12.19,04:00,715,749,1233,2,4
707091,3 parcs naturels - 3 cols,3 - difficult,Racing,145.32,07:00,3428,664,1853,1,5
823030,Circuit Gros Plané - Le Niremont - Les Alpettes,2 - medium,Mountainbike,36.79,03:30,1155,728,1513,2,3
707092,Le Cousimbert - La Berra - La Valsainte,2 - medium,Mountainbike,58.81,06:00,1611,674,1719,4,4
247240,Walk to Broc and Cailler Chocolate Factory,1 - easy,Hiking,7.43,02:00,90,687,813,1,1
819426,Circuit autour de La Berra,2 - medium,Mountainbike,24.59,02:30,847,1009,1719,2,3
276260,Bäumiges Freiburg 1,2 - medium,Hiking,16.67,05:00,310,737,920,2,4
156762,Gantrisch-Fribourg-Weg: Fribourg - Romont,3 - difficult,Pilgrimage,29.22,07:47,500,567,781,0,5
893017,Circuit Gruyères - Moléson Village,2 - medium,Mountainbike,16.49,02:15,620,736,1230,1,3
761157,Le long de la Trême,1 - easy,Cycling,33.88,03:00,907,743,1470,1,2
769390,La Valsainte/Charmey depuis Bulle,2 - medium,Mountainbike,35.49,03:30,642,677,1019,2,3
819437,Boucle La Berra - Lac Noir - Charmey,3 - difficult,Mountainbike,52.06,04:00,2095,855,1712,3,5
848062,Château de Gruyères - Chocolaterie Cailler - Maison du Gruyère,1 - easy,Cycling,14.4,01:30,232,678,808,0,1
616598,Von Châtel-sur-Montsalvens via Gorges de la Jogne - Mont Bifé - Vanil des Cours - nach Corbières,2 - medium,Hiking,15.5,05:30,1140,718,1562,2,3
707086,La Route du Chocolat et du Fromage,1 - easy,Cycling,27.29,02:00,219,678,806,0,2
616560,Von Jaun Dorf via Wolfs Ort nach SAC Grubenberghütte,2 - medium,Hiking,10.2,03:45,1100,1000,1915,3,3
859951,Circuit Château de Gruyères - Grandvillard,1 - easy,Cycling,15.93,01:30,174,696,808,0,2
823040,"Open Bike Haute-Gruyère, grand parcours",2 - medium,Mountainbike,42.48,03:30,1239,697,1118,2,3
859955,Charmey - Buvette Hauta Chia,2 - medium,Mountainbike,26.69,02:45,816,855,1474,1,3
823067,Tour du lac de la Gruyère,1 - easy,Racing,47.5,03:00,758,659,953,0,2
910305,Schwarzsee - Patraflon - Pointe de Balachaux - Schopfenspitz - Combi - Stierenberg - Schwarzsee,2 - medium,Hiking,14.8,05:30,1300,1046,2104,3,4
109935,Geschichte zweier Epochen am Mont Vully,1 - easy,Hiking,11.78,03:30,350,429,647,2,2
716667,Wanderung von der Berg- zu Mittelstation,1 - easy,Hiking,2.62,01:02,56,1474,1824,3,3
777470,Patraflon & Schopfenspitz,2 - medium,Hiking,15.54,04:38,1185,1059,2094,4,5
555309,Stadtwanderung Fribourg,1 - easy,Hiking,6.45,01:56,158,531,625,1,1
615619,Dent de Broc ⛰,3 - difficult,Hiking,10.55,03:34,1108,725,1814,5,6
63229,Charmey - La Valsainte,1 - easy,Thematic route,5.22,02:00,196,880,1008,2,2
75536,"Via Le Gruyère AOP, Etappe 3a",1 - easy,Thematic route,6.34,02:00,146,702,835,0,2
814906,Riggisalp-Brecca-Schwarzsee Gypsera,2 - medium,Hiking,10.4,03:17,148,1040,1509,4,4
891224,GFW 39 - Buechechäppeli,0 - no rating,Hiking,8.08,02:20,250,801,1039,0,0
131280,Jerusalemweg: Romont - Fribourg,3 - difficult,Pilgrimage,28.83,07:15,340,569,779,1,6
114424,"Via Le Gruyère AOP, Etappe 6b",1 - easy,Thematic route,7.65,04:00,288,759,994,0,2
60581,Vanil Noir,3 - difficult,Hiking,22.36,08:00,942,929,1723,5,5
771105,Gruyères - Aérodrome - Gruyères,1 - easy,Hiking,5.81,01:40,127,689,808,0,1
555780,Kleinbösingen Rundgang,1 - easy,Hiking,6.58,01:25,81,490,565,3,3
558481,Boucle Courtepin 3h,1 - easy,Hiking,16.26,03:00,231,461,593,1,2
75535,"Via Le Gruyère AOP, Etappe 4",1 - easy,Thematic route,3.15,02:00,123,764,882,0,2
114432,"Via Le Gruyère AOP, Etappe 3b",2 - medium,Thematic route,10.16,04:00,372,735,952,0,4
767150,Bulle - Mont de Riaz - Sorens - Gumefens - Bulle,2 - medium,Mountainbike,30.73,03:20,619,677,1116,0,3
75539,"Via Le Gruyère AOP, Etappe 6a",1 - easy,Thematic route,3.38,02:00,92,774,882,0,2
769094,Stierenberglauf 2020,2 - medium,Trailrunning,9.91,01:23,570,1048,1513,5,5
75540,"Via Le Gruyère AOP, Etappe 8",2 - medium,Thematic route,9.13,04:00,504,970,1512,0,4
75530,"Via Le Gruyère AOP, Etappe 1a",1 - easy,Thematic route,5.31,02:00,179,885,1022,0,2
114422,"Via Le Gruyère AOP, Etappe 2b",2 - medium,Thematic route,8.52,04:00,155,691,909,0,4
411429,Charmey - Gstaad-Schönried,2 - medium,Cycling,33.61,03:03,973,848,1634,2,4
558706,Boucle depuis Sodbach,1 - easy,Hiking,8.9,02:24,289,627,784,1,2
615229,Oleyres,1 - easy,Hiking,5.63,01:28,156,502,619,1,1
75524,Via Le Gruyère AOP,1 - easy,Thematic route,91.09,08:00,2971,678,1512,2,2
722980,Rund um den Schwyberg,2 - medium,Mountainbike,34.2,03:21,1206,876,1545,4,5
802923,Bulle - Charmey par Motélon,0 - no rating,Mountainbike,16.72,01:45,279,678,898,0,0
185708,Murten - Estavayer-le-Lac,1 - easy,Long distance cycling,33.57,02:18,120,432,498,1,1
904271,Neyruz torny,1 - easy,Hiking,21.53,04:29,341,589,749,3,4
750936,Rigisalp - Kaiseregg - Brecaschlund,2 - medium,Hiking,17.88,05:39,929,1045,2177,5,6
