ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness
276168,Mittelpunkt Waadt,1 - easy,Hiking,12.35,03:30,40,443,864,2,2
156775,Drei-Seen-Weg: Avenches - Payerne,1 - easy,Pilgrimage,12.8,03:20,147,447,578,0,2
108773,LEY-HDW - Chateau Chillon - Montreux,1 - easy,Hiking,3.1,00:45,5,373,384,1,1
70042,"""Von der Videmanette ins Pays dEnhaut""",2 - medium,Hiking,10.5,03:25,230,914,2141,4,3
114360,Swiss fine wine trail - La Côte,1 - easy,Hiking,7.28,01:56,95,396,552,1,1
950819,Rougemont – Haute Combe (2039 M.ü.M),2 - medium,Ski tour,7.34,03:10,1007,998,2039,4,4
162917,Pässewanderung im Grenzgebiet Bern - Waadt,2 - medium,Hiking,10.98,04:00,620,1177,1919,4,3
1022712,LEY-HDW- Crettaz met buggy,0 - no rating,Hiking,5.34,01:30,161,1227,1388,0,0
508310,Über die Sprachgrenze ins Saanenland,1 - easy,Hiking,7.46,02:00,180,970,1049,2,2
58455,"Col de Voré – Bergseen, Alpen, Gletschersicht",2 - medium,Hiking,12.68,04:30,420,1129,1916,3,3
296983,Von Vevey durch das Lavaux nach Lausanne,3 - difficult,Hiking,21.46,06:00,223,372,502,1,5
156804,Via Francigena: Lausanne - Vevey,2 - medium,Pilgrimage,23.43,06:31,229,372,527,0,4
853397,GFW 30 - Le Sentier du Sel,2 - medium,Hiking,13.34,04:30,320,481,1022,3,4
545709,Via Francigena: Variante Romainmôtier,1 - easy,Pilgrimage,12.82,03:28,185,482,715,0,2
348124,La Videmanette – Les Prax – Ruble – La Videmanette,2 - medium,Hiking,6.6,02:30,430,1767,2153,3,3
156771,Via Francigena: Orbe - Lausanne,3 - difficult,Pilgrimage,32.15,08:25,453,440,709,0,6
63184,Route Eclépens – Chavornay,2 - medium,Hiking,12.57,03:32,281,447,613,3,3
114358,Swiss fine wine trail - Lavaux (UNESCO),1 - easy,Thematic route,6.04,01:47,133,382,476,1,1
335815,Via Francigena: AIVF Variante via Bex,1 - easy,Pilgrimage,10.7,03:01,227,413,535,0,2
112042,LEY-HDW - Prafandaz,1 - easy,Hiking,9.6,03:05,424,1249,1580,2,2
112042,LEY-HDW - Prafandaz,1 - easy,Hiking,9.6,03:05,424,1249,1580,2,2
83739,Wanderung Le Pont – Vallorbe,1 - easy,Hiking,8.18,02:10,110,750,1102,1,1
853397,GFW 30 - Le Sentier du Sel,2 - medium,Hiking,13.34,04:30,320,481,1022,3,4
494779,LEY-WIW- La Boule de Gomme,0 - no rating,Winter hiking,4.36,01:15,83,1185,1289,0,0
296983,Von Vevey durch das Lavaux nach Lausanne,3 - difficult,Hiking,21.46,06:00,223,372,502,1,5
335815,Via Francigena: AIVF Variante via Bex,1 - easy,Pilgrimage,10.7,03:01,227,413,535,0,2
156775,Drei-Seen-Weg: Avenches - Payerne,1 - easy,Pilgrimage,12.8,03:20,147,447,578,0,2
162917,Pässewanderung im Grenzgebiet Bern - Waadt,2 - medium,Hiking,10.98,04:00,620,1177,1919,4,3
167065,LEY-WIW- Le Flot de Crête,1 - easy,Winter hiking,4.58,01:22,108,1142,1386,0,2
276168,Mittelpunkt Waadt,1 - easy,Hiking,12.35,03:30,40,443,864,2,2
156800,Via Francigena: Aigle - St-Maurice,2 - medium,Pilgrimage,17.51,04:59,398,394,643,0,3
494811,LEY-WIW-DW- Leysin-Aigle,0 - no rating,Winter hiking,7.37,02:15,8,419,1388,0,0
58455,"Col de Voré – Bergseen, Alpen, Gletschersicht",2 - medium,Hiking,12.68,04:30,420,1129,1916,3,3
131697,Col du Pillon - Lac Retaud - Arnensee - Feutersoey,2 - medium,Hiking,12.34,04:00,451,1129,1916,2,4
156802,Via Francigena: Vevey - Aigle,3 - difficult,Pilgrimage,26.13,06:39,158,373,523,0,5
1002834,Le Chenit – Col du Marchairuz – Le Chenit,3 - difficult,Mountainbike,50.48,05:45,1028,1005,1484,3,5
63184,Route Eclépens – Chavornay,2 - medium,Hiking,12.57,03:32,281,447,613,3,3
348124,La Videmanette – Les Prax – Ruble – La Videmanette,2 - medium,Hiking,6.6,02:30,430,1767,2153,3,3
63840,La Grande Traversée - stage 3,2 - medium,Hiking,18.32,04:00,236,659,835,2,4
203852,Circuit gourmand pied du Jura,1 - easy,Cycling,26.57,04:00,154,659,760,0,2
