ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness
66260,Somtgant - Piz Martegnas - Somtgant,2 - medium,Hiking,8.24,03:04,791,1886,2639,4,4
606368,Wintertrailrunning: La Plaiv auf SchweizMobil Route 315,1 - easy,Trailrunning,13.2,02:05,158,1627,1741,1,2
131022,Rund um den Piz Lagalb,2 - medium,Trailrunning,13.14,02:16,395,2092,2486,3,4
1002713,Alp Es-cha Dadour,2 - medium,Winter hiking,8.7,02:50,376,1691,2062,3,3
132166,Falera - Laax - Falera,1 - easy,Hiking,7.37,02:00,270,963,1213,2,2
363411,Wolfssuche / La tscherca dil luf,2 - medium,Hiking,7.96,03:00,225,1085,1348,2,3
98066,Schlittelweg Gondelbahn Kulm,2 - medium,Sledge,1.38,00:05,2,1847,2043,3,4
478960,Mises Grond Cavorgia  Rundtour,1 - easy,Snowshoe,5.07,02:30,300,1350,1649,1,2
55809,Kulturweg Voia Culturala Brienz/Brinzauls - Vazerol,0 - no rating,Thematic route,5.2,02:23,303,1061,1171,0,0
132364,Val Fex Rundweg (Muotta da Güvè),1 - easy,Winter hiking,6.06,02:00,265,1808,2035,0,2
107905,Via Bregaglia 1. Etappe: Maloja - Vicosoprano,2 - medium,Hiking,11.31,03:20,55,1063,1860,3,3
194361,257 Calörtsch (Cross Country),2 - medium,Mountainbike,23.98,03:15,1012,635,1580,1,3
66824,"""Plang la Curvanera - Pass digls Orgels - Pass dEla - Preda""",3 - difficult,Hiking,18.93,07:00,1494,1747,2821,5,5
132167,Höhenwanderung auf Planetenlehrpfad Falera - Murschetg,1 - easy,Hiking,3.87,01:15,55,1077,1223,1,2
572008,Panoramawanderung zwischen Piz Mundaun und Piz Sezner,2 - medium,Hiking,6.77,02:45,544,1980,2309,2,4
172439,Rheinwanderung: Sedrun - Disentis,2 - medium,Hiking,14.76,04:30,299,1041,1454,2,4
486924,Tektoni - und der Flug durchs Martinsloch,2 - medium,Thematic route,8.14,02:57,457,2089,2467,0,3
151546,Feldis Rundtour,2 - medium,Mountainbike,31.12,04:44,1213,588,1641,3,4
1034251,Runda Claustra,3 - difficult,Cycling,55.31,05:40,1671,1019,1961,0,6
656496,STM-DW - Chamanna Coaz,0 - no rating,Hiking,17.59,06:30,596,2519,2754,0,0
919442,EX Op de thee in het Survretta House,0 - no rating,Hiking,8.9,02:37,283,1768,1962,0,0
758855,Rundstrecke für Ausdauerende Trailrunner,2 - medium,Trailrunning,10.24,01:50,343,1820,2142,0,4
98058,Skihaus Hochwang - Peist,2 - medium,Winter hiking,6.81,01:58,0,1243,1957,1,3
107904,Via Bregaglia 3. Etappe: Soglio - Chiavenna,2 - medium,Hiking,15.66,05:15,475,329,1098,2,3
87845,Savognin - Cunter - Salouf - Riom - Savognin,2 - medium,Winter hiking,10.78,02:58,277,1120,1361,2,3
324716,Sils - Maloja - Lägh da Cavloc - Sils,2 - medium,Mountainbike,25.22,03:29,630,1785,2006,3,3
477518,Cavaglia - Le Prese (Höhenweg),0 - no rating,Hiking,15.99,05:07,331,965,1866,0,0
