ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness
526859,"Beizen, Burg und Roggenflue",2 - medium,Hiking,11.53,04:00,600,440,998,3,3
130966,Olten-Dottenberg-Hauenstein-Schmutzberg-Olten,2 - medium,Mountainbike,25.31,03:30,756,391,894,2,3
111113,Abwechslungsreiche Wanderung in der Ajoie,1 - easy,Hiking,13.47,03:15,154,424,548,2,2
729591,LEY-MTB - Pierre du Moëllé & Les Fers,0 - no rating,Mountainbike,18.55,02:43,748,1326,1708,0,0
471931,"Mittelland-Route, Etappe 5: Von Solothurn nach Ins",3 - difficult,Cycling,62.86,04:30,43,427,460,3,6
514914,Drei-Seen-Weg: Variante Münchenwiler -Herberge,1 - easy,Pilgrimage,5.39,01:23,60,447,507,0,2
108716,LEY-DW - Pierre du Moëllé,2 - medium,Hiking,14.15,04:51,688,1371,1974,3,4
104854,Leysin: DW Door het Berengat,1 - easy,Hiking,8.51,03:17,585,1107,1678,1,2
1040681,Von Basel zum Mont Blanc Etappe 3: Mariastein – Laufen,2 - medium,Hiking,13.3,04:00,367,337,788,1,4
55733,Von Porrentruy nach St-Ursanne,2 - medium,Hiking,17.62,05:30,800,422,886,2,4
278083,Basler Weg: Solothurn - Fraubrunnen (Variante A),2 - medium,Pilgrimage,17.52,04:26,174,427,522,0,3
104893,DW Leysin - Aigle,2 - medium,Hiking,13.69,04:16,277,413,1575,2,3
162959,Vom Ufer des Tabeillon zum Doubs,2 - medium,Hiking,13.14,04:00,570,490,932,3,3
616594,Von Noiraigue nach Creux du Van,2 - medium,Hiking,14.3,04:30,750,725,1456,3,3
133002,Chälegrabenschlucht & Remelturm,2 - medium,Hiking,15.49,04:30,600,453,825,2,4
109933,Der Weg der Giesser bei Oensingen,1 - easy,Hiking,12.16,03:50,480,462,799,2,2
130619,Panoramatour,2 - medium,Hiking,8.31,03:30,798,655,1395,2,3
49563,Sanfte Höhen am Rande des Grossen Mooses,2 - medium,Hiking,11.85,03:00,232,443,532,1,3
276210,Zum Chaux d’Abel,0 - no rating,Hiking,9.94,02:50,200,791,1204,0,0
471934,Von Olten nach Grenchen,1 - easy,Cycling,52.81,04:00,168,391,546,1,2
76674,Die anspruchsvolle Bergwanderung,3 - difficult,Hiking,6.29,04:30,1400,1540,2940,4,5
114354,Swiss fine wine trail - Vully,1 - easy,Thematic route,4.98,01:25,87,426,498,1,1
70030,"""Roche-dOr""",2 - medium,Hiking,15.87,04:40,504,527,839,2,3
995273,Grenchen Bike (560),1 - easy,Mountainbike,12.92,01:30,349,579,772,2,2
