ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness
276181,Mittelpunkt Aargau,1 - easy,Hiking,11.18,03:10,250,354, 647,2,2
257134,Grossteilerberg Bike,2 - medium,Mountainbike,17.78,02:03,655,481, 1135,0,3
130918,Bergwanderung Wildspitz,2 - medium,Hiking,11.96,04:30,822,765, 1580,2,4
120881,Walking- und Joggingrouten in der Region Eigenamt,2 - medium,Running,13.51,03:30,198,381, 472,0,3
260871,Klettersteig Diavolo (Bis voraussichtlich Ende Mai geschlossen),0 - no rating,Via ferrata,1.0,02:30,519,1397, 1916,0,0
6738,Vier-Seen-Wanderung,2 - medium,Hiking,19.6,06:30,1567,1001, 2312,3,3
156896,Himmlische Pfade: Einsiedeln - Stadt Zug,3 - difficult,Pilgrimage,28.32,08:20,700,415, 1152,0,6
252517,5-Hütten-Panoramaweg: Etappe 1  Göschenen zur Dammahütte SAC,2 - medium,Hiking,13.41,05:10,1416,1106, 2438,3,3
281733,Riedalp-Trail Brunni,2 - medium,Snowshoe,2.89,01:30,129,1513, 1631,0,3
161140,Schneeschuh Tour von  Luthern Bad auf den Napf,3 - difficult,Snowshoe,8.89,04:30,566,873, 1404,0,5
114184,Etappe: Stoos - Morschach | Schwyzer Tal- & Gipfeltour,2 - medium,Hiking,4.95,02:03,27,642, 1295,1,3
6736,Walenpfad,2 - medium,Hiking,11.8,03:30,801,1583, 1912,3,3
254356,Hitzkirch - Horben - Lieli - Hitzkirch,1 - easy,Hiking,19.7,05:35,540,470, 858,0,2
199934,Rossweid - Kemmeribodenbad,1 - easy,Hiking,9.19,02:33,0,975, 1463,2,2
86669,Wildromantische Wanderung in der Göscheneralp,2 - medium,Hiking,9.01,02:57,179,1120, 1786,3,2
491848,Kleiner Rundweg Leutschen,1 - easy,Hiking,4.34,01:10,70,422, 492,0,1
504722,Muotathal - Pfannenstock,3 - difficult,Hiking,16.31,05:00,1495,955, 2450,4,6
74619,Stoos - Brunnerboden,2 - medium,Snowshoe,4.48,01:50,191,1192, 1383,1,3
176931,Panorama-Route: Sempach-Buttisholz-Sempach,3 - difficult,Cycling,38.38,02:52,475,504, 729,4,5
368325,WanderWunder Schwyz: Rund um den Glattalpsee,2 - medium,Hiking,13.34,03:50,780,1146, 1892,3,4
177003,Ächerlipass E-Biketour,3 - difficult,Cycling,29.98,03:10,1032,445, 1457,3,5
163881,Hirsegg - Schrattenfluh - Rossweid - Sörenberg,3 - difficult,Hiking,17.96,06:40,1195,1070, 2058,4,5
77221,Höhenweg Chilcherbergen-Golzern,2 - medium,Hiking,5.2,02:20,416,1158, 1521,3,2
131002,"Sattelpass, Seewenegg",3 - difficult,Mountainbike,39.09,04:30,1742,479, 1524,4,5
159648,"Cable car to Klewenalp, Walk to Stockhuette",1 - easy,Hiking,4.56,00:50,118,1273, 1670,1,1
383216,Stoos - Chruteren-Bawangli-Seilstock,2 - medium,Winter hiking,6.74,01:55,187,1274, 1360,3,3
177083,Jochpass-Trail,1 - easy,Mountainbike,3.84,00:17,0,1771, 2206,2,1
120926,Römerrebberg und Flösser,2 - medium,Cycling,36.75,03:45,520,327, 550,2,3
252481,Panoramaweg Sihlsee,1 - easy,Thematic route,9.39,02:34,146,877, 966,1,2
