ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness
894840,"Nebel im Tal, Schnee auf den Bergen",2 - medium,Winter hiking,8.77,02:30,360,694,945,4,4
195068,Tour de Thurgau (Weinfelden – Fischingen),3 - difficult,Cycling,109.83,07:45,800,386,625,4,5
131494,Route des Staunens Flums,1 - easy,Hiking,5.01,01:30,71,435,492,1,1
251375,Wanderung zum Muttsee,3 - difficult,Hiking,10.03,04:30,906,1871,2570,0,5
336232,Etappe 16 Via Glaralpina - UNESCO Weltnaturerbe - aussergewöhnlich nah,3 - difficult,Hiking,17.81,08:15,1500,1256,2509,5,5
238934,Rundwanderung Hemishofen (via Burg Hohenklingen),2 - medium,Hiking,14.58,04:45,463,415,613,3,4
286188,Von Vättis zur Walsersiedlung St.Martin,2 - medium,Hiking,8.06,02:35,447,944,1351,2,3
948833,Gluristal,1 - easy,Ski tour,9.33,02:05,648,892,2042,2,2
131518,Walensee-Trail 474,2 - medium,Running,13.83,02:28,405,422,664,3,4
238944,Schleitheimer Randenturm,2 - medium,Hiking,11.98,03:30,477,472,896,2,4
219445,Walk to Elm,3 - difficult,Hiking,24.25,09:00,1292,968,2223,2,6
559480,Die herbstliche Fülle des Altweibersommers,2 - medium,Hiking,8.74,02:46,420,668,856,3,3
593361,Themenweg Wald,1 - easy,Thematic route,1.42,00:30,43,1339,1390,1,1
276250,Schaffhausen - Stein am Rhein (Via Rhenana),2 - medium,Hiking,22.04,05:35,64,391,432,3,3
318782,Thurgauer Thurweg (Weinfelden – Frauenfeld),3 - difficult,Hiking,23.98,05:45,30,388,444,3,6
286205,Glattrüti,1 - easy,Hiking,4.17,01:18,147,904,1051,1,2
292034,Radtour zu den UNESCO-Welterbestätten am Bodensee,2 - medium,Cycling,84.53,05:46,98,392,685,0,3
250442,Panoramaweg Lustdorf – Lustdorf,1 - easy,Hiking,13.34,03:45,300,515,696,2,2
264873,DenkWeg Glarus Nord,1 - easy,Thematic route,4.76,01:29,119,633,739,1,1
130710,Thurgauer Rundwanderweg (Bischofszell – Hauptwil),1 - easy,Hiking,2.8,00:45,110,506,614,1,2
1038359,Kleine Vorderland Rundtour,1 - easy,Mountainbike,13.73,01:55,442,775,1098,2,2
251374,Fridolinshütte-Claridenhütte (2-Tages-Tour),3 - difficult,Hiking,21.13,10:29,2230,803,2537,0,5
966503,Schlittelweg Stoss - Altstätten,0 - no rating,Sledge,4.43,00:50,0,463,947,0,0
131402,Lüsis Bike Nr. 475,2 - medium,Mountainbike,6.42,02:00,870,425,1272,3,2
131538,Alp- und Kulturweg Schrina,2 - medium,Thematic route,7.75,03:45,565,1280,1717,0,3
205033,Klimahörpfad St.Gallen,1 - easy,Thematic route,5.47,02:00,3,569,685,0,2
131474,Heidiland Wander Tour 3: Flumserberg - Kleinberg,3 - difficult,Hiking,15.08,05:15,856,961,1814,2,5
286190,Mapragg Stausee,1 - easy,Hiking,9.34,02:43,241,766,975,2,2
354745,Rundtour Palfries - Sennis,2 - medium,Hiking,15.6,05:15,611,1399,1803,3,4
286174,Alp Maton - Chimmispitz,2 - medium,Hiking,14.11,04:24,612,1189,1802,2,3
147768,5-Seen-Wanderung Pizol,2 - medium,Hiking,9.96,04:30,534,1858,2507,3,4
848632,Holzweg,2 - medium,Hiking,6.73,03:00,236,784,954,3,3
110700,"Gufelstock, 2436 m",0 - no rating,Hiking,29.64,13:30,2230,519,2435,0,0
277588,Tourenski-Angebot am Abend,2 - medium,Ski tour,4.84,02:00,527,1245,1772,0,3
130827,Flawil - Magdenau - Tufertschwil - Lütisburg,2 - medium,Hiking,12.44,04:00,379,549,855,2,4
130737,Panoramarundweg Homburg,1 - easy,Hiking,5.09,01:15,100,653,717,1,1
613171,Genuss-Tour Goldingertal,1 - easy,Cycling,17.83,01:28,314,585,835,1,1
82335,ViaRhenana: von Stein am Rhein nach Steckborn,2 - medium,Hiking,16.87,04:30,400,394,591,3,3
277889,Winterwanderweg Tannenboden- Seebenalp,2 - medium,Winter hiking,3.82,01:30,328,1387,1656,3,3
202597,Herzroute Wattwil - Herisau,3 - difficult,Cycling,54.37,04:07,942,550,895,5,5
131542,Warmes Wasser in düsterer Schlucht,2 - medium,Hiking,6.94,02:02,70,517,827,2,4
278067,Rundweg Matt,1 - easy,Winter hiking,3.25,01:00,132,900,985,2,2
940342,Ortstockhaus - Chatzenstafel,1 - easy,Snowshoe,1.18,00:30,16,1659,1772,0,2
795169,Rossweidhöchi,3 - difficult,Mountainbike,37.56,04:30,1508,418,1424,4,5
179286,Segnespass,2 - medium,Hiking,17.37,06:33,1111,1099,2627,2,4
