ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness,region,trail_id,name,lat,lon,snow_obs_lat,snow_obs_lng,snow_obs_location,snow_obs_alt,snowlevel_in_cm,distance,snow_status
129549,Bornkänzeli,2 - medium,Hiking,10.3,03:00,318,392,665.0,2,3,aargau,129549,Bornkänzeli,47.320609999999995,7.90747,47.5378697,7.570987799999999,Binningen,316,0,35.0,No Snow
129607,Aarelauf,2 - medium,Hiking,11.34,02:30,75,391,428.0,2,3,aargau,129607,Aarelauf,47.320609999999995,7.90747,47.5378697,7.570987799999999,Binningen,316,0,35.0,No Snow
961881,Hüslischnegg am Asperstrihen,2 - medium,Hiking,5.0,01:23,173,670,804.0,3,3,aargau,961881,Hüslischnegg am Asperstrihen,47.436832,8.029861,47.5378697,7.570987799999999,Binningen,316,0,36.4,No Snow
129624,Rundwanderung Engelberg,2 - medium,Hiking,11.17,03:30,283,395,702.0,1,3,aargau,129624,Rundwanderung Engelberg,47.32008,7.899660000000001,47.5378697,7.570987799999999,Binningen,316,0,34.7,No Snow
897134,PanoramatourAG-Strihen-ZeiherHomberg,1 - easy,Mountainbike,25.29,01:31,756,438,740.0,1,1,aargau,897134,PanoramatourAG-Strihen-ZeiherHomberg,47.462158,7.996060000000001,47.5378697,7.570987799999999,Binningen,316,0,33.1,No Snow
624204,hajamithi Frick,1 - easy,Hiking,16.78,03:50,447,410,604.0,1,2,aargau,624204,hajamithi Frick,47.508995,8.030663,47.5378697,7.570987799999999,Binningen,316,0,34.8,No Snow
129632,bikingZofingenregio_Boowald-Tour,1 - easy,Mountainbike,24.37,02:00,206,414,565.0,2,2,aargau,129632,bikingZofingenregio_Boowald-Tour,47.295059,7.9038699999999995,47.5378697,7.570987799999999,Binningen,316,0,36.9,No Snow
129628,Auenlandschaft Ruppoldingen,1 - easy,Hiking,4.4,01:00,5,391,402.0,1,2,aargau,129628,Auenlandschaft Ruppoldingen,47.3204,7.89894,47.5378697,7.570987799999999,Binningen,316,0,34.6,No Snow
753862,Frick - Fricktaler Höhenweg - Mumpfer Fluh,1 - easy,Hiking,10.59,02:55,398,353,631.0,1,4,aargau,753862,Frick - Fricktaler Höhenweg - Mumpfer Fluh,47.507046,8.013009,47.5378697,7.570987799999999,Binningen,316,0,33.5,No Snow
129626,Wissberg - Benzligen,2 - medium,Hiking,12.25,03:00,151,411,503.0,1,3,aargau,129626,Wissberg - Benzligen,47.305240999999995,7.89953,47.5378697,7.570987799999999,Binningen,316,0,35.8,No Snow
129638,bikingZofingenregio_Säli-/Engelberg-Tour,2 - medium,Mountainbike,10.93,01:30,482,406,702.0,4,3,aargau,129638,bikingZofingenregio_Säli-/Engelberg-Tour,47.320271000000005,7.90793,47.5378697,7.570987799999999,Binningen,316,0,35.1,No Snow
