ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness
1006859,Vergeletto-Capanna Arena-Alpe Porcaresc-Vergeletto,2 - medium,long-distance walking trail,28.71,09:25,1473,896, 1847,3,4
549724,Der Panoramaweg,3 - difficult,Hiking,11.08,04:31,847,723, 1817,4,6
272874,Bosco Gurin-laghetti alpini-Bosco Gurin,2 - medium,Hiking,10.54,05:10,1097,1497, 2436,3,4
696090,Von Mornera via Alpe Albagno und Cima dell Uomo nach Vogorno,2 - medium,Hiking,16.8,07:00,1175,460, 2390,4,4
1008037,Lugano e-MTB Tour - Etappe 4,2 - medium,Cycling,49.36,05:55,1666,468, 1608,3,3
525018,Diga Verzasca-Mergoscia-Corippo-Lavertezzo,2 - medium,Hiking,13.09,04:20,707,470, 890,2,3
1000642,Capriasca Bike - Nr. 359,3 - difficult,Mountainbike,23.19,03:30,795,513, 1620,3,6
272906,Etappe 1: Lodano-Castello-Alpe Canaa,2 - medium,long-distance walking trail,7.48,03:40,1508,335, 1843,3,4
194345,Alzasca Trail,3 - difficult,Trailrunning,23.06,08:00,2079,416, 2139,3,5
1008017,Lugano e-MTB Tour - Etappe 2,2 - medium,Cycling,48.21,03:45,753,271, 938,3,1
272901,Etappe 2: Capanna Tomeo-Pertüs-Monti di Predee-Prato Sornico,2 - medium,long-distance walking trail,10.2,03:54,419,743, 2156,3,4
89333,Cimetta Trail,2 - medium,Trailrunning,13.24,02:50,598,728, 1868,3,3
63630,Traversa Infinita,2 - medium,Mountainbike,22.26,03:23,568,276, 1875,4,4
1000569,Lugano Bike Nr.66 - Etappe 1 - Lugano (Monte Brè) – Pairolo,3 - difficult,Mountainbike,22.45,04:05,1225,611, 1402,3,6
272869,Cimalmotto-Lago di Sfii-Cimalmotto,2 - medium,Hiking,12.65,04:40,848,1284, 1911,3,4
453523,Airolo Bike,2 - medium,Mountainbike,20.9,03:15,1209,1133, 2064,4,4
109594,Historisch-kultureller Weg,1 - easy,Thematic route,6.46,02:30,461,429, 890,1,2
1000637,Origlio Bike Nr. 357,1 - easy,Mountainbike,16.57,01:55,414,334, 654,1,1
336245,Von Rasa - Pizzo Leone - Corona dei Pinci nach Ronco sopra Ascona,2 - medium,Hiking,14.11,05:28,778,226, 1644,3,4
525396,Tessiner Anschlussweg zur Via Jakobi: Giornico - Dalpe,3 - difficult,Pilgrimage,16.0,05:16,1052,384, 1431,1,5
463042,The San Carlo Church of Negrentino,1 - easy,long-distance walking trail,1.78,00:38,7,617, 877,2,2
101618,Lodano-Soláda-Castèll-Lodano,1 - easy,long-distance walking trail,7.11,03:30,790,362, 884,2,2
262232,Vier - Quellen - Weg: Etappe 4 Zum Quellgebiet Ticino,3 - difficult,Hiking,19.77,07:00,857,1350, 2447,5,5
7873,Lai Blau,0 - no rating,Hiking,8.0,03:00,550,1900, 2450,2,3
455703,Gottardo Bike - Stage 2,3 - difficult,Mountainbike,40.27,07:40,1361,892, 2376,5,6
180173,Kraftorte in Arcegno,1 - easy,Thematic route,3.77,01:09,142,359, 456,0,1
1000668,Cross Country Circuit Rivera,2 - medium,Mountainbike,5.81,00:45,89,472, 562,3,1
1013186,Monte di Comino Rundwanderung,1 - easy,Hiking,4.27,01:35,221,1146, 1271,2,1
89424,Valle Verzasca Trail,2 - medium,Trailrunning,24.31,05:00,1070,474, 923,1,4
272889,Etappe 1: Giumaglio-Arnau-Costa-Alpe Spluga,2 - medium,long-distance walking trail,8.11,04:01,1542,352, 1877,3,4
287882,Von Sonogno nach Lavertezzo,2 - medium,Hiking,14.1,04:00,10,535, 922,2,4
180234,Kraftorte im Bavonatal,1 - easy,Thematic route,4.46,01:30,237,585, 737,0,2
405223,Trekking dei laghetti alpini - 3 Etappe: Robiei-Maria Luisa Hütte,2 - medium,Hiking,9.41,04:00,810,1855, 2635,4,4
89324,Monte Gambarogno Trail,2 - medium,Trailrunning,7.55,01:40,380,981, 1724,3,3
101993,Via Alta Vallemaggia - 6.Etappe: Barone Hütte-Fusio,3 - difficult,Hiking,13.85,07:30,1056,1279, 2328,0,5
474073,Itinerary Piano di Magadino,1 - easy,Cycling,41.83,02:58,98,194, 258,1,2
