ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness
6830,Staudamm Mattmark - Distelalp - Tälliboden - Ofental - Staudamm Mattmark,0 - no rating,Hiking,15.9,03:30,394,2194,2353,3,3
14412,Gebirgswald Circular Hike,2 - medium,Pilgrimage,9.68,03:05,675,1352,1945,2,4
229741,Sommer Gommerlauf - Junioren 6km,0 - no rating,Trailrunning,6.02,00:56,124,1344,1433,0,0
15205,Hockuchriz Circular Hike,2 - medium,Hiking,8.22,03:40,730,1970,2570,3,3
707118,Rundwanderung von der Fiescheralp durch den Tälligrattunel zur Märjela und zum Gletscherrand,2 - medium,Hiking,10.52,03:05,312,2177,2357,4,3
85392,Kneippweg Blitzingen,1 - easy,Thematic route,2.69,01:30,180,1288,1470,0,2
91010,Col de la Croix de Cœur – Mythische Alpenpässe,3 - difficult,Cycling,35.29,03:00,1978,482,2174,6,6
86825,Pas de Morgins - Mythische Alpenpässe,2 - medium,Cycling,19.8,02:00,990,427,1378,3,4
120661,Wanderung vom Fieschertal via Fiesch nach Ernen,1 - easy,Hiking,5.25,01:45,194,1007,1196,1,2
120720,Themenweg Gogwärgiweg von Lax nach Fieschertal,1 - easy,Thematic route,5.13,02:00,133,1048,1120,1,2
51817,Sonnenwanderung am Höhenweg Südrampe BLS,3 - difficult,Hiking,20.99,08:00,1313,797,1194,3,6
682755,E-bike : Découverte culturelle,2 - medium,Cycling,27.43,03:30,997,534,1500,3,3
1006133,Discovery Trail von Sunnegga nach Riffelalp,2 - medium,Snowshoe,5.62,02:30,257,2019,2289,4,4
586332,Rundgang der Stadtviertel von Sierre,1 - easy,Cycling,12.89,01:01,158,522,680,1,1
819423,Vom Mattmark-Stausee zur goldenen Madonna auf dem Monte Moro Pass,2 - medium,Hiking,14.6,05:00,642,2199,2841,3,3
196084,Vom Gemmipass zur Lämmerenhütte,1 - easy,Hiking,10.02,03:15,460,2207,2507,2,2
5115,Majingbärgji,0 - no rating,Hiking,13.2,03:30,181,1449,2409,4,3
143527,Stoneman Glaciara,3 - difficult,Mountainbike,126.37,12:00,4600,757,2452,5,6
120679,Winterwanderung von der Moosfluh via Riederfurka zur Riederalp,2 - medium,Winter hiking,5.38,02:30,6,1904,2332,2,3
50737,Via ferrata Mammut - Route C,2 - medium,Via ferrata,5.53,03:30,791,1603,2164,0,4
164002,Rundweg Trützisee,3 - difficult,Hiking,19.86,07:10,1367,1340,2579,2,5
90465,Sanetschpass – Mythische Alpenpässe,3 - difficult,Cycling,24.25,02:30,1814,512,2253,6,6
120675,"Winterwanderung am Wysswasser – Fiesch, Fieschertal und zurück",1 - easy,Winter hiking,5.36,01:30,82,1050,1110,1,2
167099,Rundweg am Bergsturz der Diablerets,1 - easy,Hiking,6.89,02:22,265,1338,1547,2,2
167473,Rundweg um den Lac de Tseuzier,1 - easy,Hiking,4.9,01:30,82,1776,1856,1,2
85374,Biketour Gämschfax,2 - medium,Mountainbike,30.48,03:47,1048,1345,2239,2,3
251389,Bietschhorn Trail,2 - medium,Cycling,13.05,02:40,338,1379,2117,3,4
163519,"""Cry dEr - Crans""",2 - medium,Winter hiking,7.22,02:10,14,1475,2267,3,3
50603,Nordwand Trail,2 - medium,Snowshoe,2.88,01:05,0,2201,2587,3,3
128778,Kleine Rundwanderung Suonenerlebnis Zauberwasser,1 - easy,Thematic route,4.84,01:37,180,1622,1802,1,2
733522,"Entlang des Grossen Aletschgletschers, Bettmeralp",2 - medium,Trailrunning,26.99,04:45,878,1931,2392,3,3
7750,Panoramaweg über den Aletschgletscher,2 - medium,Hiking,17.3,05:00,608,1992,2565,3,3
86174,Dixence - Staudamm Trophy,3 - difficult,Cycling,38.19,02:45,2077,509,2139,6,6
979167,07. Champéry - Sous Scex,0 - no rating,Snowshoe,3.02,01:20,126,925,1034,0,0
130874,Maultierweg / Alter Saumweg Saas-Fee,1 - easy,Thematic route,1.52,00:45,260,1560,1820,1,1
1032845,"""Jardin descalade des Crêts / Grimentz""",0 - no rating,Climbing,1.72,01:35,251,2128,2379,0,0
444830,Bergtour auf das Bortelhorn (3194m),3 - difficult,High tour,7.25,06:00,1085,2105,3194,0,6
91494,Klettersteig Evolène,3 - difficult,Via ferrata,2.24,02:30,380,1386,1712,0,4
946945,03. Champoussin Ecotrace,0 - no rating,Snowshoe,1.72,01:00,102,1465,1553,0,0
61913,Dom Ascent,3 - difficult,High tour,11.08,09:30,1574,2938,4545,0,6
