ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness
557303,TCS-Wanderung: «Ghöch – Frauebrünneli – Ghöch»,2 - medium,Hiking,5.47,01:39,171,900,1031,2,3
136902,Turbenthal - Elgg - Turbenthal: «Mittleres Tösstal»,2 - medium,Mountainbike,32.45,04:00,880,498,791,4,4
136801,Wila – Schlossberg – Saland: «Von der Wiese auf den Teller»,1 - easy,Hiking,7.76,03:15,215,569,772,2,2
557166,TCS Wanderung: «Gubel (Sternenberg) – Hörnli – Gubel»,2 - medium,Hiking,4.36,01:31,254,901,1122,2,4
460614,Wolfsgrueb – Tössscheidi – Hüttchopf: «Am Fusse des Tössstocks»,2 - medium,Hiking,7.43,02:45,525,796,1243,4,4
209131,Oberdürnten – Bachtel – Wernetshausen: «die Kurzweilige»,1 - easy,Snowshoe,6.26,02:50,495,620,1116,2,2
622284,Hittnau –  Stoffel: «Nordic Walking Trail Hittnau – Die Anspruchsvolle»,3 - difficult,Nordic Walking,14.82,03:28,296,641,879,4,5
729603,Winterthur – Hulftegg: «Hörnli Bike»,3 - difficult,Mountainbike,44.41,05:05,1300,439,1005,3,5
60282,Pfannenstiel,2 - medium,Racing,41.15,02:50,859,406,789,2,3
136787,Steg – Hulftegg – Steg: «Schnebelhorn und Hörnli»,3 - difficult,Hiking,20.71,06:45,939,689,1291,2,6
136842,Wildberg – Läntschen – Wildberg: «Freddy Fratzel Kinder-Erlebnisweg»,1 - easy,Hiking,5.32,01:40,130,628,758,1,2
136796,Grüningen - Pfannenstiel - Grüningen: «3-Seen-Tour»,2 - medium,Mountainbike,41.93,04:15,496,436,851,3,4
357347,Auf den Spuren Zwinglis,2 - medium,Hiking,12.76,03:15,142,459,668,1,3
209134,Turbenthal – Wila: «Wildberger Tour»,1 - easy,Snowshoe,7.71,02:45,205,545,749,2,2
136872,Wald – Schnebelhorn – Wald: «Die Herausfordernde»,3 - difficult,Mountainbike,48.8,06:57,1665,604,1213,4,6
357330,Befestigungen am Irchel,2 - medium,Hiking,12.71,03:45,470,351,673,1,3
72798,Die klassische Zürcher Gratwanderung mit prächtigen Weitblicken,2 - medium,Hiking,19.75,06:00,700,535,909,1,4
209132,Wald – Schwarzenberg – Wald: «Rundtour»,3 - difficult,Snowshoe,14.79,06:15,806,638,1197,4,5
136795,Pfäffikon – Auslikon – Pfäffikon: «Rund um den Pfäffikersee»,1 - easy,Hiking,9.81,02:30,14,537,551,1,2
136805,Bäretswil – Bauma: «Industrie im Zürcher Oberland»,1 - easy,Hiking,6.31,02:00,212,639,871,2,2
136797,Hinwil – Bäretswil: «Kulturhistorisches Zürcher Oberland»,1 - easy,Hiking,7.04,02:15,253,566,818,2,2
136831,Turbenthal – Sitzberg – Wila: «Auf stillen Pfaden»,2 - medium,Hiking,15.12,04:30,332,550,842,2,4
136850,Pfäffikon – Hörnli – Pfäffikon: «Vom See zum Hörnli»,3 - difficult,Mountainbike,47.22,06:15,1371,548,1126,4,5
209130,Fischenthal – Poo-Alp – Wald: «Grattour»,3 - difficult,Snowshoe,16.86,07:00,886,628,1293,3,5
136802,Elgg – Schauenberg – Turbenthal: «Fünfliber-Weg»,2 - medium,Hiking,10.69,03:15,371,507,876,2,3
107983,WWF-Biberpfad am Rhein,1 - easy,Hiking,8.23,02:30,74,344,375,2,2
136836,Weisslingen – Rumlikon – Weisslingen: «Winterzauber»,2 - medium,Winter hiking,15.24,04:00,288,547,723,2,4
259131,Wald – Sagenraintobel – Farner: «die Wildromantische»,2 - medium,Hiking,5.83,02:15,534,616,1151,0,3
136861,Greifensee – Riedikon – Aaspitz: «Rollstuhlwanderung»,1 - easy,Hiking,7.22,02:00,8,435,444,1,2
156748,Schwabenweg: Steg - Rapperswil-Jona,2 - medium,Pilgrimage,22.22,05:55,164,408,821,0,3
357334,Entlang des Millionenbachs,1 - easy,Hiking,9.39,02:30,152,459,563,1,2
136910,"Pfäffikon ZH - Ricken: «Vom Rheinfall ins Zürioberland, Etappe 2»",2 - medium,Cycling,43.88,03:30,634,477,906,2,4
