trail_id,name,lat,lon
357325,Zum Stahl der Steinzeit,47.425369,7.758727
132998,Chellenchöpfli & Passwang,47.373665,7.699918
812811,Wandererlebnis mit dem Bus - Augst - Saline,47.534748,7.712881
548333,Rundwanderung Farnsberg,47.495255,7.855785
133037,Römertour: 2000 Jahre Rückblick,47.406734,7.871921
132993,Zunzgerhard & Obstplantagen,47.467281,7.786777
371230,Gempenplateau-Tour,47.539646,7.622568
548336,Rundwanderung Wildenstein,47.424625,7.757533
130967,Olten-Belchen-Langenbruck-Olten,47.348164,7.901758
357322,Wahlen - Zum Stürmenchopf,47.402042,7.514636
377011,Bike Trail Arlesheim,47.489834,7.610862
548337,Rundwanderung Chaltbrunnental - Chastelbach,47.441158,7.590742
812804,Wandererlebnis mit dem Bus - Lausen - Huppergruben - Liestal,47.46452,7.758561
357320,Ergolztal - Alte und neue Berge,47.491425,7.730161
130681,ViaSurprise-Zubringer: Liestal - Reigoldswil,47.484497,7.731689
357291,Landwirtschaft (Ausflug in die Vergangenheit),47.484615,7.730773
320784,Rundwanderung Chatzenstieg-Huerewägli,47.373589,7.70015
670385,Erlebnisweg passepartout,47.449169,7.939218
613198,BLKB-Wanderung Sommerau - Giessen-Wisenberg - Ruine Homburg,47.436516,7.850448
357328,Waldenburg,47.380608,7.751509
246771,Rundtour von Aesch via Ruine Pfeffingen und Duggingen,47.467697,7.602552
610990,BLKB-Wanderung Reinach - Leywald - Reinach,47.485867,7.591471
132995,Ruinen Wartenberg & Rebenweg,47.526367,7.647277
114226,Blütenpracht im Baselbiet,47.523754,7.846814
1040682,Von Basel zum Mont Blanc Etappe 4: Laufen – Beinwil,47.422802,7.500509
371235,Ergolz-Tour,47.484337,7.732074
357321,Reigoldswil - Geheimnisse rund um's Horn,47.38924,7.697794
133001,Syydebändel & Rebenweg,47.52383,7.846923
548334,Liestaler Aussichtsturm - Sissacherfluh,47.484295,7.732122
156872,Basler Weg: Aesch - Beinwil Kloster,47.467506,7.601017
812810,Wandererlebnis mit dem Bus - Reigoldswil - Bubendorf,47.397434,7.691981
357294,Kunst und Unterhaltung (Ausflug in die Vergangenheit),47.533871,7.721352
133029,Huppergruben,47.475937,7.744675
133023,Reinach - Leywald - Aesch,47.485935,7.591651
812809,Wandererlebnis mit dem Bus - Reigoldswil - Büren,47.397419,7.691977
377001,Tafeljura-Tour,47.405811,7.870993
543657,Interregio-Wanderweg Etappe 6: Liestal – Aesch,47.484283,7.732071
613197,BLKB-Wanderung Viadukt Rümlingen - Ruine Homburg,47.425438,7.850749
71375,Route Wasserfallen – Wasserfallen,47.373608,7.700193
350190,Rundwanderung Wasserfallen 470,47.373634,7.700252
130959,Herrliche Velotour durch die Baselbieter Reben,47.520229,7.712147
749250,Rebenweg Ziefen,47.431274,7.706344
371236,Schauenburger-Tour,47.501839,7.719425
610987,BLKB-Rundwanderung Aesch - Ruine Pfeffingen - Blattenpass - Klus - Aesch,47.469048,7.597038
670386,Erlebnispfad wisenbergwärts,47.438915,7.851404
357309,"Läufelfingen, Neu-Homburg",47.392353,7.856351
357316,Diegtertal - Witwald,47.404793,7.809487
133038,Königstour: Vom Jura ins Mittelland und zurück,47.405792,7.870966
201330,Froburg,47.379066,7.871974
153939,Von der Ermitage zum Gempenturm,47.49474,7.619062
371242,Gempen-Nordtrail-Tour,47.513725,7.618182
126148,Von Pratteln zur Ermitage Arlesheim,47.52253,7.691112
357319,Ermitage,47.492214,7.620746
320783,Wasserfallen Rundwanderweg 470,47.373569,7.700172
132992,Giessenfall & Wisenbergturm,47.439072,7.851218
133041,Ermitage & Gempenturm,47.494602,7.618715
548332,469 Wildenstein - Ryfenstein,47.484844,7.729528
