trail_id,name,lat,lon
276181,Mittelpunkt Aargau,47.418831,8.217142
257134,Grossteilerberg Bike,46.836346,8.18559
130918,Bergwanderung Wildspitz,47.07999,8.62753
120881,Walking- und Joggingrouten in der Region Eigenamt,47.434914,8.194304
260871,Klettersteig Diavolo (Bis voraussichtlich Ende Mai geschlossen),46.647327,8.591759
6738,Vier-Seen-Wanderung,46.816788,8.396773
156896,Himmlische Pfade: Einsiedeln - Stadt Zug,47.12672,8.75043
252517,5-Hütten-Panoramaweg: Etappe 1  Göschenen zur Dammahütte SAC,46.665977,8.58836
281733,Riedalp-Trail Brunni,46.832218,8.40734
161140,Schneeschuh Tour von  Luthern Bad auf den Napf,47.027142,7.925091
114184,Etappe: Stoos - Morschach | Schwyzer Tal- & Gipfeltour,46.981483,8.664059
6736,Walenpfad,46.832378,8.407652
254356,Hitzkirch - Horben - Lieli - Hitzkirch,47.222256,8.252647
199934,Rossweid - Kemmeribodenbad,46.808895,8.026768
86669,Wildromantische Wanderung in der Göscheneralp,46.649017,8.498889
491848,Kleiner Rundweg Leutschen,47.197521,8.734911
504722,Muotathal - Pfannenstock,46.938107,8.835381
74619,Stoos - Brunnerboden,46.978092,8.666851
176931,Panorama-Route: Sempach-Buttisholz-Sempach,47.124336,8.189068
368325,WanderWunder Schwyz: Rund um den Glattalpsee,46.914436,8.846305
177003,Ächerlipass E-Biketour,46.933529,8.391889
163881,Hirsegg - Schrattenfluh - Rossweid - Sörenberg,46.838638,8.012206
77221,Höhenweg Chilcherbergen-Golzern,46.793987,8.684705
131002,"Sattelpass, Seewenegg",46.836689,8.1866
159648,"Cable car to Klewenalp, Walk to Stockhuette",46.940117,8.473401
383216,Stoos - Chruteren-Bawangli-Seilstock,46.977982,8.66684
177083,Jochpass-Trail,46.778633,8.387044
120926,Römerrebberg und Flösser,47.478985,8.206606
252481,Panoramaweg Sihlsee,47.126766,8.749545
157653,Emmenuferweg,46.804859,8.06484
280155,Schlittelbahn Bogenfang,47.05843,8.695499
928073,Winterlicher KulinarikTrail Marbach,46.850288,7.895442
299957,Reuss Kanu,47.350822,8.338
173264,Bahnentour Mythenregion – Hoch-Ybrig,47.014755,8.669223
181337,Rundweg Freyenweiher - Krebsbach,47.195332,8.724502
7595,Panorama Wanderung Melchsee-Frutt - Abgschütz - Älggialp - Stöckalp,46.774582,8.268499
120893,Skulpturenweg,47.429482,8.119948
663236,"Gipfelwanderung zum Stuckli Chriiz, Sachseln",46.837345,8.238875
245408,Alpenkranz 40. Etappe: Spannorthütte -Surenenpass - Brüsti,46.799976,8.510064
563545,Rund um Stans,46.958462,8.366842
132994,Römerstadt & Aussichtsturm,47.538372,7.723652
202600,4-Seen Wanderung,46.819626,8.402855
257152,Obwaldner Höhenweg: Etappe 1,46.979576,8.253691
601914,Sonnentauweg Sörenberg,46.808273,8.026469
288089,Titlis Trail Fürenalp,46.801231,8.468351
265543,Sternenegg-Bike-Tour,47.039726,8.782337
257174,Touring-Route 3: Historische Hauptorte,46.894726,8.247314
350244,"5-Hütten-Panoramaweg Uri, Zwitserland",46.668262,8.586892
554929,Spaziergang Kerns - Flüeli-Ranft,46.90094,8.274556
120869,Kultur- und Rebsortenlehrpfad Oberflachs,47.442265,8.128799
541489,"Motivationspfad ""a de Wegere""",47.189598,7.976434
178096,Ein Familienausflug wie aus dem Bilderbuch,46.785797,8.159682
554976,Kulinarische Wanderung am Sarnersee,46.897633,8.245239
208229,Escholzmatt - Turner,46.91539,7.936145
159643,"Walk to Stans, train and cog railway to Pilatus",46.967133,8.474922
219488,Köhlerweg Romoos,47.010971,8.02717
255949,Felsenweg Bürgenstock,46.997276,8.381891
72169,Rigi Lehnenweg,47.096478,8.463456
132220,Schimbrig-First-Tour,46.978077,8.047148
300812,Rigi Goethe Weg,47.036667,8.475772
266685,Luthertaler Sagenweg,47.098495,7.917757
311552,Geo-Wanderweg Küttigen,47.421375,8.051472
67881,Schwyzer Höhenweg 2. Etappe Rigi – Goldau,47.053623,8.47423
452353,Über den Schlierengrat,46.893024,8.125768
211591,Von Luzern über Rio de Janeiro nach Meggen,47.05106,8.309095
72817,Historische Spazierwanderung Hohle Gasse,47.096611,8.463267
95934,Rigi - Klösterliweg,47.044113,8.466572
761104,Schwander Chilbi,46.821354,8.405994
931679,Rundtour Willisau - Ostergau - Soppisee - Alberswil,47.122452,7.996687
120855,Aargauer Altstädte,47.391968,8.044489
332341,Gletscherspur Seebodenalp,47.070721,8.466987
87340,Spielplatz-Safari rund um Altdorf,46.881809,8.643758
117069,Klingnauer Stausee,47.588886,8.290236
158658,Bergbeizli-Weg mit Chäs(S)pass,46.977196,8.667306
