trail_id,name,lat,lon
557303,TCS-Wanderung: «Ghöch – Frauebrünneli – Ghöch»,47.334248,8.903655
136902,Turbenthal - Elgg - Turbenthal: «Mittleres Tösstal»,47.432007,8.843275
136801,Wila – Schlossberg – Saland: «Von der Wiese auf den Teller»,47.418072,8.848121
557166,TCS Wanderung: «Gubel (Sternenberg) – Hörnli – Gubel»,47.382008,8.930683
460614,Wolfsgrueb – Tössscheidi – Hüttchopf: «Am Fusse des Tössstocks»,47.2967,8.951886
209131,Oberdürnten – Bachtel – Wernetshausen: «die Kurzweilige»,47.274921,8.87466
622284,Hittnau –  Stoffel: «Nordic Walking Trail Hittnau – Die Anspruchsvolle»,47.366562,8.834321
729603,Winterthur – Hulftegg: «Hörnli Bike»,47.499687,8.723848
60282,Pfannenstiel,47.348907,8.561895
136787,Steg – Hulftegg – Steg: «Schnebelhorn und Hörnli»,47.353783,8.932649
136842,Wildberg – Läntschen – Wildberg: «Freddy Fratzel Kinder-Erlebnisweg»,47.425232,8.819431
136796,Grüningen - Pfannenstiel - Grüningen: «3-Seen-Tour»,47.283161,8.761692
357347,Auf den Spuren Zwinglis,47.227249,8.549265
209134,Turbenthal – Wila: «Wildberger Tour»,47.438931,8.843093
136872,Wald – Schnebelhorn – Wald: «Die Herausfordernde»,47.2729,8.913849
357330,Befestigungen am Irchel,47.575123,8.580964
72798,Die klassische Zürcher Gratwanderung mit prächtigen Weitblicken,47.352074,8.487682
209132,Wald – Schwarzenberg – Wald: «Rundtour»,47.280155,8.918029
136795,Pfäffikon – Auslikon – Pfäffikon: «Rund um den Pfäffikersee»,47.367344,8.784219
136805,Bäretswil – Bauma: «Industrie im Zürcher Oberland»,47.33733,8.852532
136797,Hinwil – Bäretswil: «Kulturhistorisches Zürcher Oberland»,47.299721,8.840364
136831,Turbenthal – Sitzberg – Wila: «Auf stillen Pfaden»,47.437386,8.844101
136850,Pfäffikon – Hörnli – Pfäffikon: «Vom See zum Hörnli»,47.366966,8.785474
209130,Fischenthal – Poo-Alp – Wald: «Grattour»,47.333408,8.923171
136802,Elgg – Schauenberg – Turbenthal: «Fünfliber-Weg»,47.498325,8.863723
107983,WWF-Biberpfad am Rhein,47.550537,8.555281
136836,Weisslingen – Rumlikon – Weisslingen: «Winterzauber»,47.431419,8.763783
259131,Wald – Sagenraintobel – Farner: «die Wildromantische»,47.272789,8.913578
136861,Greifensee – Riedikon – Aaspitz: «Rollstuhlwanderung»,47.364422,8.674915
156748,Schwabenweg: Steg - Rapperswil-Jona,47.353485,8.932914
357334,Entlang des Millionenbachs,47.350204,8.718484
136910,"Pfäffikon ZH - Ricken: «Vom Rheinfall ins Zürioberland, Etappe 2»",47.366787,8.786067
534525,TCS-Wanderung «Tablat – Manzenhub – Tablat»,47.409748,8.859531
136878,Pfäffikon – Volketswil – Pfäffikon: «Oberländer Rundtour»,47.366852,8.7852
136799,Effretikon – Mönchaltorf – Effretikon: «Kyburg und zwei Seen»,47.425896,8.686346
130749,Thurgauer Rundwanderweg (Bichelsee – Fischingen),47.453785,8.895474
136825,Kempten – Rosinli – Kempten: «Tobelwanderung mit Seesicht»,47.331928,8.804945
795199,Bäretswil – Stockrüti – Hinterburg – Bäretswil: «Zeitreise»,47.33551,8.856343
136833,Rikon – Bläslimühle – Pfäffikon: «Tobel und Giessen»,47.444542,8.7978
357349,Industrie im Tössbergerland,47.368694,8.878569
357348,"Zwischen Landvogtei, Komturei und Kloster",47.284119,8.762566
136870,Wald – Bachtel – Bauma – Wald: «Panoramatour»,47.272549,8.91374
136896,Uster – Wetzikon – Bauma: «Industriepfad Zürcher Oberland»,47.341862,8.691849
70496,Pfannenstiel,47.357899,8.572223
275661,Girenbad – Langriet – Girenbad: «für Geniesser»,47.452454,8.846466
474088,Bauma – Sternenberg – Saland: «Genuss mit Aussicht»,47.367825,8.878464
136828,Gibswil – Bachtel – Steg: «Waldwanderung»,47.313618,8.915318
357342,Über den Schauenberg,47.498753,8.863631
183255,Über Schnebelhorn und Hörnli,47.353867,8.932655
136823,Steg – Hüttchopf – Wald: «Kopf lüften»,47.353779,8.932655
953443,Kolumbansweg Schweiz - 7a. Etappe Wädenswil - Rapperswil,47.2295,8.67493
357335,Spurensuche im Limmattal,47.404572,8.405506
136798,Saland – Sitzberg – Saland: «Kultur-Tour»,47.39476,8.854018
176465,Thurpfad von Ossingen nach Rüdlingen,47.614494,8.724068
346116,Gyrenbad – Hulftegg: «Züri Oberland-Höhenweg – Etappe 2»,47.452419,8.846397
557301,TCS Wanderung: «Bärloch – Schnebelhorn – Bärloch»,47.330845,8.960254
136900,Au – Seegräben: «Industrialisierung im Zürcher Oberland»,47.400185,8.856229
136890,Wald – Bannholz – Atzmännig – Wald: «Goldingertal»,47.277206,8.915884
61533,Irchel: Rundwanderung mit Sonne und Schatten am Irchel zwischen Tösstal und Weinland,47.515778,8.646684
357345,Der Fürstensitz auf dem Uetliberg,47.360352,8.477339
777799,Winterthur – Gyrenbad: «Züri Oberland-Höhenweg – Etappe 1»,47.499748,8.723581
136786,Nänikon – Nänikon: «Rund um den Greifensee»,47.369202,8.686285
136790,Hittnau – Rosinli – Hittnau: «Zum Rosinli»,47.368668,8.82335
136840,Grüningen – Adletshusen – Grüningen: «Rund um den Lützelsee»,47.283867,8.766332
678608,Turbenthal - Schauenberg - Turbenthal,47.437359,8.843531
275660,Girenbad – Schauenberg – Girenbad: «für Erfahrene»,47.452126,8.845779
136791,Hinwil – Ringwil: «Zürcher Oberländer Milchstrasse»,47.299732,8.840386
136898,Pfäffikon - Hermatswil - Sternenberg: «Jakob Stutz-Weg»,47.364182,8.781082
357343,Vom Eiszeitwald zur Spinnerei,47.47773,8.699353
