index,0,1,2,3,4
0,48850,51189,131614,468862,416492
1,51212,717235,100449,75548,488514
2,870922,698708,211595,439557,848009
3,733527,564265,131161,471359,54505
4,133945,51349,114497,478945,456687
5,509375,709665,744928,607631,66079
6,86143,114266,66023,733532,917442
7,99640,277600,617761,610120,421252
8,744919,48767,698705,185709,857036
9,316229,795212,296938,361155,200919
10,658326,114258,133928,614058,875915
11,700232,174598,84519,699632,781272
12,700226,133081,616567,613233,850689
13,752896,133924,225655,474967,86219
14,717203,172177,698704,561474,463056
15,101687,717229,823060,575552,69501
16,52285,211604,850762,595655,780461
17,114250,172140,311562,561387,757809
18,306681,658323,298943,421194,573727
19,823103,211600,131151,69538,628671
20,289903,354688,586723,63319,840780
21,162908,707098,78168,287887,734920
22,49274,76670,595654,616971,887916
23,744917,131770,50425,709461,872794
24,70029,887205,691505,735243,53377
25,812686,133927,744918,584818,275645
26,501843,114202,700218,586143,799947
27,224315,172139,131685,75549,62404
28,131667,707177,316230,691256,456685
29,49033,698709,836971,57157,850696
30,599069,50927,162940,588689,707639
31,114222,573694,292891,887156,190774
32,131655,698707,108674,689628,761110
33,131669,114499,67238,744925,456688
34,100448,315061,57567,69540,850645
35,812684,309530,177067,573725,850644
36,48808,114220,294660,482331,108499
37,56959,131764,616543,289402,378736
38,51213,50315,67762,689626,0
39,508332,82262,619277,619582,0
40,525056,368308,895528,463065,0
41,870878,51391,131636,783969,0
42,162712,277472,568353,573723,0
43,482336,114210,529960,488618,0
44,482340,83742,419178,442776,0
45,50976,172154,444085,69537,0
46,97364,616521,479715,837826,0
47,850700,501844,597809,479258,0
48,199823,100447,698712,573207,0
49,698706,65411,592483,421193,0
50,131163,131758,586307,613212,0
51,86037,247242,131607,217460,0
52,48925,275647,563504,185713,0
53,348126,133094,473731,496422,0
54,49823,744929,594408,795210,0
55,65384,114254,870925,692222,0
56,891249,834956,528182,584084,0
57,658328,51169,575440,707155,0
58,82225,316219,615550,705560,0
59,131649,156907,156903,619583,0
60,837028,691501,131304,69543,0
61,295433,812685,611000,472347,0
62,156751,133079,274936,50936,0
63,51190,289486,511921,808143,0
64,159602,678610,485966,795315,0
65,891220,908579,619585,850701,0
66,162740,48958,471070,418731,0
67,276223,508315,311557,595657,0
68,508334,131149,685879,455696,0
69,348123,700217,441750,870879,0
