index,0,1,2,3,4,5,6
0,114264,51573,131772,48769,641941,911345,709666
1,57280,48802,116842,709668,50211,93350,0
2,348116,598193,522368,49250,131464,518270,0
3,288422,110504,131733,48832,552481,110613,0
4,131938,147745,114206,984923,70036,131683,0
5,51390,289470,51012,48807,51963,289450,0
6,990998,744920,908572,185343,49184,917930,0
7,131689,947000,162702,315062,10196,707149,0
8,70017,65953,312287,131776,48801,432085,0
9,1002580,1002878,974671,289429,131895,49854,0
10,508330,162934,62375,50353,156784,49425,0
11,131951,744916,131699,49251,314647,979140,0
12,524951,940745,691484,978197,97580,505584,0
13,76710,131935,49291,70048,123934,49026,0
14,57566,97940,69999,49169,50350,58127,0
15,51254,162697,709678,940755,70039,388152,0
16,174602,51297,348117,499467,123944,159622,0
17,49253,978213,50429,315043,943059,109622,0
18,131981,65312,131806,50398,864934,133922,0
19,97609,522366,509379,529176,508341,130679,0
20,114192,49293,157992,525059,49115,49183,0
21,131881,110619,524950,387441,1002685,709676,0
22,306061,162905,50179,70033,831318,58128,0
23,50214,991005,1002814,49952,314650,1000662,0
24,50388,172178,84165,972266,526863,358900,0
25,62314,508320,51530,6753,978195,156781,0
26,156735,1025098,76615,131855,63072,183325,0
27,277615,1040603,553952,49117,174600,132567,0
28,51393,1002879,309494,131926,57019,744926,0
29,991006,162926,374711,49164,133944,315538,0
30,1034393,509377,718569,49228,133092,508336,0
31,50212,49227,51344,991003,131891,49122,0
32,208213,49279,131180,1013217,133919,276266,0
33,917887,51616,50255,49038,1013215,48960,0
34,98482,215754,593357,573706,337168,944240,0
35,185138,131863,58603,154457,131812,296988,0
36,1000562,51394,62317,131865,324667,508350,0
37,49281,749188,219482,131155,563583,48804,0
38,50397,131625,278066,509376,131897,3367,0
39,131616,49119,131936,508323,526953,49186,0
40,1038367,383162,49073,744927,286179,1002736,0
41,96773,131612,709680,50351,50390,573676,0
42,71455,50929,62318,101588,58273,48806,0
43,875909,238987,49060,162907,50184,1042429,0
44,304176,50392,508339,1002739,309480,51346,0
45,950837,297003,48962,92578,49273,114230,0
46,59116,60656,1002979,49230,49422,358910,0
47,49120,525024,49189,51009,1003289,49855,0
48,348108,131857,67188,131470,167117,131885,0
49,718568,49254,508324,978202,49181,49037,0
50,1013212,51088,536628,50185,508316,49280,0
51,532162,210483,244083,131617,63186,131467,0
52,131778,50209,1023805,48809,131462,293157,0
53,50314,52068,917869,49294,49313,131875,0
54,709664,594406,301337,315064,917866,276172,0
55,309955,58844,51348,123946,49225,109937,0
56,289447,131887,109786,508355,49191,131611,0
57,524943,131629,508335,526926,133920,219503,0
58,50925,131957,49199,49334,908578,49260,0
59,131734,150615,51343,131780,340189,563593,0
60,49246,290497,658329,304811,1000790,162747,0
61,110805,870928,48959,93346,56854,97598,0
62,110620,823056,853410,508319,162745,131619,0
63,571941,50349,48851,110723,306710,518298,0
64,49442,114338,315071,50428,682833,532165,0
65,70004,314649,49224,733676,270365,51214,0
66,309954,162913,49596,131953,303365,162912,0
67,70020,133938,162906,940750,991007,940747,0
68,49195,972279,859945,405259,131907,593367,0
69,49561,131835,1040660,59952,597407,131469,0
