index,0,1,2,3
0,526859,132997,203862,104895
1,130966,104898,948369,104808
2,111113,276195,509605,381073
3,729591,130964,114426,104935
4,471931,509611,75552,769388
5,514914,130615,203859,152209
6,108716,499526,64742,154452
7,104854,130968,925530,104942
8,1040681,104914,1040668,162894
9,55733,104881,60584,97275
10,278083,471939,247258,1002872
11,104893,162692,131288,753930
12,162959,300802,74649,104907
13,616594,130678,613213,97896
14,133002,156786,925527,65690
15,109933,156905,69490,863010
16,130619,104832,112249,104892
17,49563,174645,735533,104940
18,276210,112041,95949,97265
19,471934,854796,70822,157768
20,76674,108308,552517,761098
21,114354,156787,378743,511172
22,70030,114362,169362,104918
23,995273,55506,83745,287803
24,471941,104836,925526,0
25,156871,1040680,114430,0
26,247255,289488,75543,0
27,552514,979131,60553,0
28,505375,262240,203845,0
29,471943,471940,169361,0
30,174060,104890,925531,0
31,157619,130670,378748,0
32,1040673,104853,169354,0
33,130970,130974,203842,0
34,174640,51128,114434,0
35,185712,130973,551099,0
36,130969,130613,63224,0
37,156758,55593,376991,0
38,130623,130674,378744,0
39,215088,174641,131282,0
40,130972,162744,69541,0
41,375350,552516,203836,0
42,604931,471936,897225,0
43,104897,108306,376990,0
44,130658,55676,925525,0
45,984802,129394,60583,0
46,71483,276236,573813,0
47,104827,812808,699636,0
48,130965,136726,63048,0
49,174628,104894,489504,0
50,471937,51604,312304,0
51,505378,174625,925524,0
52,130617,70025,104835,0
53,159631,156785,950274,0
54,471058,49146,104809,0
55,85466,174277,848024,0
56,156755,50433,116902,0
57,156873,247241,274927,0
58,226375,1040661,511170,0
59,60346,108593,82667,0
60,85467,371240,159613,0
61,130975,552487,850695,0
62,108307,130680,799608,0
63,108302,162691,982144,0
64,174646,104902,272877,0
65,693280,203835,104833,0
66,130682,75544,65617,0
67,174643,924957,104910,0
68,130660,104899,312306,0
69,130637,207191,104887,0
