index,0,1,2,3,4,5,6,7
0,276181,332341,158667,129996,640826,196107,69151,260849
1,257134,87340,850708,244841,503624,7686,222339,120933
2,130918,117069,132287,117046,613199,159636,71124,177097
3,120881,158658,159605,458393,251879,203805,117053,71612
4,260871,232762,58669,162992,885349,245412,658344,120903
5,6738,784269,544339,117049,82233,525405,159057,245409
6,156896,262231,616583,260889,510755,931468,257138,262273
7,252517,1002854,6664,257159,656513,198401,120908,72170
8,281733,216648,156908,260902,205615,452370,177010,288087
9,161140,65426,594409,258007,463033,64281,98963,619006
10,114184,931665,120849,133115,164695,504068,618974,120887
11,6736,761068,343562,6746,120812,108705,265551,176930
12,254356,8940,108707,300047,195069,132225,244029,120936
13,199934,84518,251901,156893,159437,995264,176901,219444
14,86669,163004,117045,267163,90022,234452,83624,434148
15,491848,972232,329545,117050,1002852,65592,167114,628710
16,504722,219487,129991,68467,300801,162929,117059,541491
17,74619,1040628,156772,70276,99106,300808,7629,81220
18,176931,319576,2256,100608,120813,257148,984950,132224
19,368325,311539,260844,265538,505583,318785,257151,972237
20,177003,222292,451313,357289,546953,943084,172179,586709
21,163881,532500,110808,165228,907678,1022019,313097,279469
22,77221,114190,289909,75906,198397,132285,129675,120930
23,131002,336242,761106,177653,55732,157632,560205,1041447
24,159648,1002658,368327,120831,164696,251866,559127,1002829
25,383216,81698,253286,74618,215686,285672,120847,132286
26,177083,262286,156749,294097,257168,171498,310603,887922
27,120926,1006977,156902,164691,71079,723906,98899,72858
28,252481,116453,205618,2258,120817,162075,257153,177012
29,157653,76052,262288,522355,120825,120845,368309,613175
30,280155,120835,132213,563551,90792,362634,159609,208234
31,928073,177098,972231,177093,524986,601915,503825,159606
32,299957,187843,107857,120905,74628,62441,130024,761087
33,173264,310030,260864,505555,59482,120833,224300,341383
34,181337,177095,164698,932157,90018,285674,250447,348148
35,7595,972230,120939,202595,72119,232763,165229,368232
36,120893,260817,491842,543685,219457,925509,229125,98901
37,663236,162059,283319,423912,171154,156899,167801,231130
38,245408,317727,245407,254341,99102,368234,72195,95922
39,563545,280172,563554,120863,531842,974658,158669,190959
40,132994,603115,72770,162711,476516,583245,98966,693236
41,202600,925507,165230,251875,156770,767102,120808,450301
42,257152,251896,93699,610961,476491,95912,245406,491817
43,601914,163913,260834,164694,72166,257147,98970,616552
44,288089,656515,199808,453516,99105,665014,156788,447808
45,265543,616548,133123,120940,658345,618994,49359,132222
46,257174,189778,156752,158682,300795,294702,95923,177637
47,350244,252518,514904,156741,361160,157654,301437,257150
48,554929,362636,72204,189908,176910,309971,324723,257133
49,120869,257149,164697,513786,132284,120937,70869,560191
50,541489,132223,120821,291209,129548,179744,120823,183256
51,178096,444853,58696,257184,71360,117066,85179,248567
52,554976,1013210,723901,613172,283320,453521,117043,59842
53,208229,251373,229072,274496,485646,928883,260836,311541
54,159643,251418,212800,610959,260880,828356,504694,248570
55,219488,257157,294645,498700,156740,541493,262257,0
56,255949,102101,251892,476514,248565,130928,563648,0
57,72169,541511,190758,552486,163342,254327,178093,0
58,132220,260853,251894,63234,356288,254799,135599,0
59,300812,76799,260832,942113,53555,81697,93278,0
60,266685,279712,262258,972240,618982,254788,211619,0
61,311552,101036,622256,312298,59734,208232,98898,0
62,67881,179300,928879,7598,594236,599040,552497,0
63,452353,203832,513783,254354,157631,117068,187868,0
64,211591,129986,654490,162061,132226,260873,69928,0
65,72817,120885,602803,81705,254349,455699,171513,0
66,95934,51216,244041,68875,98964,312297,157624,0
67,761104,563543,258526,120935,156890,201195,451315,0
68,931679,157912,693224,251863,129990,1040632,129177,0
69,120855,231159,65379,251422,777851,260870,205025,0
