index,0,1,2,3,4,5,6,7
0,894840,258552,269621,551073,130033,238977,1040645,67705
1,195068,556770,156744,593365,136884,733492,130038,130791
2,131494,131372,130532,1034405,995262,563610,131511,131445
3,251375,613155,563605,286211,130786,71211,286210,1038360
4,336232,276242,277888,130841,131504,216671,798114,198034
5,238934,130559,66035,482948,718635,130056,78599,130790
6,286188,270380,136794,318706,11659,603133,130049,124369
7,948833,248599,131447,131434,777836,812628,63720,870413
8,131518,129687,130769,239614,131392,129683,307033,131408
9,238944,131394,979151,551071,156885,131400,279721,864947
10,219445,238983,588021,130599,556802,130788,322390,130570
11,559480,1002526,447812,216682,101921,130835,131453,131590
12,593361,1033111,995253,131564,130756,129682,130042,869515
13,276250,76452,179284,551093,174714,131548,292875,812721
14,318782,197928,157757,130704,246812,270369,494772,286193
15,286205,798132,129693,318779,130595,713162,297000,205113
16,292034,130795,894768,131384,130055,136908,130810,130837
17,250442,130755,276231,238959,458379,340854,129686,130763
18,264873,243629,235159,175679,130799,335718,504692,130801
19,130710,130809,130573,130057,130554,130684,551076,130777
20,1038359,131505,130513,130845,207198,242441,131496,894767
21,251374,131529,1002727,919482,242407,619523,316223,602757
22,966503,130785,130775,180187,130687,190499,559474,130059
23,131402,434158,131568,130067,336243,130040,130031,131446
24,131538,907682,428082,114356,613207,551075,286189,131485
25,205033,130058,925503,767106,130732,995232,318776,175670
26,131474,315066,130778,598331,207196,338388,131410,238948
27,286190,277887,131432,130536,175671,250443,563611,1034409
28,354745,215077,130834,276249,130780,953445,946912,130826
29,286174,824689,69105,130839,232749,603138,130828,307025
30,147768,130719,242416,302274,130036,212753,131595,130805
31,848632,130686,220179,130757,495387,907676,251424,1006946
32,110700,130830,200553,130518,174684,408837,136865,593363
33,277588,869523,574068,304861,190737,131478,174757,270372
34,130827,557184,63683,130750,81926,67411,131477,157682
35,130737,130091,787146,556760,107984,130714,203866,130063
36,613171,286207,112964,156765,340858,130052,131592,0
37,82335,130611,296998,1038354,1038358,1002439,130692,0
38,277889,278065,190935,130603,173890,978204,124337,0
39,202597,503058,995260,130071,247308,1038377,130793,0
40,131542,767104,321339,229112,131414,110875,130767,0
41,278067,131488,239656,131525,131561,595623,551082,0
42,940342,798092,495388,365543,286187,894820,130060,0
43,795169,220181,642013,130829,953447,269628,321345,0
44,179286,69988,242408,279728,130690,244022,269624,0
45,297002,131536,795279,242439,229130,129160,340210,0
46,175673,131418,777800,335764,156746,131532,338386,0
47,174715,190739,318740,131482,551102,907672,130515,0
48,251393,239085,3029,130850,270381,1017146,131581,0
49,209114,215080,642026,185331,130766,219497,131520,0
50,229081,131552,130840,238939,725959,130836,255944,0
51,839114,286204,1002463,156743,131436,943083,131549,0
52,643465,239660,551070,700211,995268,130781,216669,0
53,130581,216673,131457,274524,212806,238946,551074,0
54,130832,240173,131562,171155,309499,131574,174758,0
55,156910,278070,641996,274499,316225,894831,131587,0
56,336264,131589,279482,340852,279535,935554,78005,0
57,682761,130699,286209,272140,131523,338391,131430,0
58,172643,795273,885325,370267,129685,131398,665018,0
59,131546,563632,238951,131454,795201,72190,131582,0
60,130804,557714,296997,79456,130066,953444,232768,0
61,118091,586304,714935,208215,920851,447791,907664,0
62,71488,174751,777872,200549,130752,286208,219443,0
63,130549,1002630,514912,336226,238938,215078,131471,0
64,130721,130556,210492,80629,174260,834947,972290,0
65,523270,336244,787145,136793,131575,336251,907681,0
66,131558,777835,238950,953446,251372,157760,503824,0
67,130847,131475,130693,278519,130808,165242,156767,0
68,238961,131566,645538,211522,939951,171425,315024,0
69,110698,220168,130094,477513,130798,171426,130854,0
