index,0,1,2,3,4,5,6,7
0,92278,81417,244796,210501,946942,82153,8474,130890
1,50215,92255,50364,50942,1032845,50688,82101,613209
2,132700,89366,175730,212750,132663,120698,1000713,14289
3,586714,767160,1040636,519108,758867,239012,944888,120783
4,258046,309998,132682,499553,50362,405191,51024,132692
5,51071,946937,850702,394704,272191,132701,164058,513541
6,395857,383160,170848,14255,358839,405170,178477,205051
7,179122,164050,50694,354686,14227,170849,7750,312309
8,82109,50601,178475,130892,538917,610038,586320,707118
9,51719,170573,189772,946946,896068,120670,82704,946945
10,823068,130936,189805,130869,161199,85344,1049481,317880
11,16366,120650,805089,202107,389983,185338,120765,595636
12,130858,7225,974668,12397,120786,258053,120654,405299
13,82706,120659,50799,501833,91011,100362,190765,946936
14,50572,82100,210504,485654,63236,210496,264887,130940
15,908545,777931,812681,395840,984906,190776,911349,212804
16,82167,340887,120804,185995,14259,167099,167055,130882
17,82702,862973,922048,85936,317883,86826,1022710,117015
18,132657,120800,172470,62527,535369,937233,834888,277645
19,834886,16958,132587,556816,50567,16368,561695,389059
20,996861,394698,928020,120738,343636,123744,170836,183357
21,490544,157010,172351,421178,519122,112360,586309,14409
22,78096,470000,499550,593336,447835,503082,211532,200490
23,960155,175614,130872,175513,1020692,92757,1022711,1022708
24,130863,361171,50419,14236,974667,85937,50596,175729
25,131948,120651,946929,361146,130891,1053397,120754,50380
26,107918,908542,84817,500081,50218,5113,130903,61913
27,132605,14860,120794,132694,383161,130938,182126,494826
28,212772,459169,214000,130945,183141,163519,80835,358837
29,50673,85392,85362,81466,85374,519111,264400,2917
30,398541,14274,50803,120678,862984,541501,98075,178569
31,946939,339699,601921,50801,946944,1053395,848041,80803
32,164057,229772,50189,201191,130878,996867,595621,14684
33,212811,175509,834928,559768,189740,577845,91225,120668
34,205607,812680,490552,164061,52266,16052,87243,189787
35,14412,15206,130889,533117,120742,190936,82099,18150
36,996859,862941,183350,85395,120751,946950,132637,343638
37,179119,175728,50455,15205,16365,1002536,264781,183267
38,974661,554974,130874,120664,16046,130942,86825,167067
39,53512,946935,78278,82151,310001,761114,312307,112362
40,130904,196084,266155,16437,908548,130883,199911,209107
41,593369,120744,194351,120682,405271,14328,16044,996860
42,164019,169498,576967,50518,343559,308358,1000715,0
43,339422,85384,553290,1000693,2548,164687,452361,0
44,170839,178559,5114,112856,343637,850680,82709,0
45,138936,586359,164008,911350,195115,85385,2560,0
46,169250,51818,16359,946953,175725,937236,50542,0
47,946949,398486,1034298,164029,50166,120696,159608,0
48,135553,179696,16361,984901,15155,143527,201805,0
49,599056,190945,189812,595633,120675,1022765,908549,0
50,8468,175727,156799,16050,210503,14246,130861,0
51,84698,819423,707125,525021,283338,200424,164022,0
52,164037,389058,50626,167092,51022,946956,132594,0
53,50937,276420,120669,315039,85365,1023772,46988,0
54,82710,164002,1011155,50737,389061,82707,50805,0
55,80802,120801,120758,201802,368317,50512,85375,0
56,16040,306127,343596,289404,170055,7335,82705,0
57,776610,529111,389015,203264,120640,519106,201804,0
58,586302,552504,178575,92277,946948,156801,183337,0
59,405168,1000687,731418,130939,147759,82150,168797,0
60,519061,50436,279338,185337,50229,368318,91495,0
61,88344,132667,586317,911348,823005,682757,120661,0
62,50365,239063,91494,80834,389062,85363,1000698,0
63,494824,51073,239024,132649,91224,120684,1000694,0
64,908541,490537,120683,167081,164043,130876,112361,0
65,71973,313083,107941,150443,65671,16043,50297,0
66,771098,682755,313099,489960,203285,130905,23467,0
67,14711,91013,132706,132604,64249,545817,946934,0
68,389972,167913,276415,175654,698711,220165,50253,0
69,490549,354681,374692,586711,85929,428068,552505,0
