title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Diemtigtaler Hausweg «Vorderes Tal»'],['easy'],['Thematic route'],8.93km,03:00h,438hm,670 - 964m,rating-1,rating-2,295442
['GFW 15 - Rund ume Frienisberger'],[],['Hiking'],14.65km,04:20h,300hm,567 - 818m,rating-,rating-0,891220
['Elsigenalp - Zu einem stillen Bergseelein'],['medium'],['Hiking'],7.39km,02:50h,514hm,"1,796 - 2,299m",rating-3,rating-3,114260
['Matten - Gfell - St. Stephan - Matten'],['easy'],['Cycling'],11.25km,01:20h,476hm,"994 - 1,467m",rating-1,rating-2,700218
['Horneggli - Hornberg - Horneggli (Blumenweg)'],['easy'],['Hiking'],2.7km,01:00h,101hm,"1,767 - 1,868m",rating-2,rating-2,354688
['Stockentaler Hausweg - Blumenstein'],['medium'],['Thematic route'],13.02km,03:30h,200hm,656 - 782m,rating-2,rating-3,99380
['Prachtswälder am Fusse des Gantrisch'],['easy'],['Hiking'],8.65km,02:40h,390hm,"783 - 1,084m",rating-2,rating-2,48767
['Von SAC Grubenberghütte via Pertet à Bovets nach Rougemont'],['medium'],['Hiking'],15.2km,05:00h,630hm,"1,000 - 1,908m",rating-3,rating-3,616567
['Biel/Bienne - Ins'],['easy'],['Long distance cycling'],31.43km,02:09h,29hm,430 - 460m,rating-1,rating-1,177067
['Gasterntal Biketour'],['medium'],['Mountainbike'],23.75km,03:20h,460hm,"1,170 - 1,630m",rating-,rating-4,698704
['Zweisimmen - Mannried - Grubenwald - Seebergsee - Zweisimmen'],['difficult'],['Cycling'],38.34km,04:35h,"1,543hm","907 - 1,853m",rating-1,rating-5,707150
['Schynige Platte - Oberberghorn - Schynige Platte'],['easy'],['Hiking'],3.06km,01:15h,179hm,"1,940 - 2,066m",rating-2,rating-2,131173
['Moosegg: Inbegriff von Aussicht und Gastlichkeit'],['medium'],['Hiking'],10.07km,03:20h,460hm,"676 - 1,115m",rating-2,rating-4,48799
['Schönried Ermitage Rellerli Panoramawanderung'],['medium'],['Hiking'],11.33km,04:00h,645hm,"1,222 - 1,861m",rating-2,rating-4,595654
['Diemtigtaler Hausweg «Mittleres Tal»'],['easy'],['Thematic route'],10.2km,03:15h,434hm,"814 - 1,128m",rating-1,rating-2,295433
['Adelboden - Hahnenmoos'],['medium'],['Hiking'],8.16km,02:30h,670hm,"1,295 - 1,950m",rating-2,rating-3,133081
['Cable car to Wispile. Walk to Lauenensee'],['easy'],['Hiking'],9.58km,02:15h,142hm,"1,381 - 1,920m",rating-2,rating-2,247242
['Wildbeobachtungs Wanderung'],['easy'],['Thematic route'],7.05km,02:30h,399hm,"1,222 - 1,620m",rating-2,rating-2,368308
['Blueme'],['medium'],['Mountainbike'],29.74km,02:20h,869hm,"558 - 1,390m",rating-3,rating-3,133926
['GFW 14 - Durch die Aareauen'],[],['Hiking'],11.27km,02:50h,50hm,505 - 565m,rating-,rating-0,509595
['Blueme III'],['medium'],['Mountainbike'],26.93km,03:00h,"1,320hm","566 - 1,392m",rating-3,rating-4,133928
['Moorweg Sparemoos'],['easy'],['Thematic route'],3.39km,01:00h,130hm,"1,570 - 1,679m",rating-2,rating-2,65411
['Rundwanderung auf der Elsigenalp'],['easy'],['Hiking'],4.06km,01:15h,142hm,"1,792 - 1,934m",rating-1,rating-2,306681
"['Swiss Trail Tour Lenk, Strecke Ultra, Sonntag 2019']",['difficult'],['Trailrunning'],44.98km,09:31h,"2,500hm","1,064 - 2,346m",rating-4,rating-6,482336
['Zu den Engstligen-Fällen'],['easy'],['Hiking'],7.18km,01:30h,217hm,"1,232 - 1,428m",rating-1,rating-2,133079
['Moosegg: Inbegriff von Aussicht und Gastlichkeit'],['medium'],['Hiking'],10.07km,03:20h,460hm,"676 - 1,115m",rating-2,rating-4,48799
['Prachtswälder am Fusse des Gantrisch'],['easy'],['Hiking'],8.65km,02:40h,390hm,"783 - 1,084m",rating-2,rating-2,48767
['Hügelpanorama oberhalb Trubschachen'],['medium'],['Hiking'],3.71km,01:35h,290hm,731 - 996m,rating-2,rating-3,56959
"['Von Alpiglen via Eigertrail, Klettersteig Rotstock und Eigergletscher nach Kleine Scheidegg']",['medium'],['Via ferrata'],10.3km,05:00h,"1,115hm","1,615 - 2,662m",rating-3,rating-2,752896
['Historische Bauten Thun'],['easy'],['Thematic route'],2.65km,00:42h,38hm,557 - 593m,rating-1,rating-2,289424
['Probsteberg - einsames Grenzgebiet Bern/Solothurn'],[],['Hiking'],16.44km,04:45h,581hm,"640 - 1,149m",rating-,rating-0,99639
['Holz-Skulpturenweg - Frutigen'],['medium'],['Thematic route'],9.56km,02:45h,134hm,779 - 913m,rating-3,rating-2,108674
['I gloube i gange no meh a Louenesee'],['medium'],['Hiking'],9.99km,02:50h,340hm,"1,236 - 1,433m",rating-2,rating-3,508332
['Rund um den Etang de la Gruère'],['medium'],['Hiking'],14.83km,03:45h,350hm,"982 - 1,098m",rating-2,rating-3,51349
['Von Schwanden (Sigriswil) via Winterberg (Heiligenschwendi) nach Goldiwil (Thun)'],['easy'],['Hiking'],10km,02:45h,360hm,"960 - 1,216m",rating-2,rating-2,616599
['Course de la solidarité'],[],['Trailrunning'],10.22km,01:40h,100hm,801 - 894m,rating-,rating-0,199823
['Im Naherholungsgebiet von Unterseen und Interlaken'],['easy'],['Hiking'],8.97km,02:15h,80hm,558 - 614m,rating-1,rating-2,508307
['Wilderswil - Breitlauenen'],['medium'],['Hiking'],5.19km,03:00h,959hm,"583 - 1,542m",rating-2,rating-3,131149
['Rellerli - Zum beliebten Ausflugsberg'],['medium'],['Hiking'],9.59km,03:30h,630hm,"1,222 - 1,832m",rating-3,rating-4,50213
['Lauenen – Lauenensee - Lauenen'],['medium'],['Hiking'],8.99km,02:30h,178hm,"1,236 - 1,409m",rating-3,rating-3,348126
