title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Bornkänzeli'],['medium'],['Hiking'],10.3km,03:00h,318hm,392 - 665m,rating-2,rating-3,129549
['Habsburger Weg 4. Etappe: Baden - Mellingen'],['medium'],['Hiking'],8.41km,02:14h,107hm,349 - 489m,rating-1,rating-3,120900
['Aarelauf'],['medium'],['Hiking'],11.34km,02:30h,75hm,391 - 428m,rating-2,rating-3,129607
['Veloroute Limmattal'],['medium'],['Cycling'],46.27km,03:22h,327hm,348 - 554m,rating-2,rating-4,280170
['Mättenwilerkehr'],['easy'],['Hiking'],9.27km,02:15h,182hm,427 - 544m,rating-1,rating-2,129555
['Hüslischnegg am Asperstrihen'],['medium'],['Hiking'],5km,01:23h,173hm,670 - 804m,rating-3,rating-3,961881
['Mosersagi'],['medium'],['Hiking'],8.63km,02:30h,282hm,431 - 663m,rating-2,rating-3,129565
['Am Chilchberger Waldrand'],['easy'],['Hiking'],8.21km,03:00h,234hm,447 - 566m,rating-1,rating-2,129552
"['Rundwanderung Seengen, Aargau']",['easy'],['Hiking'],15km,03:44h,380hm,481 - 715m,rating-1,rating-3,581892
['Walking Trail 1 Lenzburg'],[],['Nordic Walking'],10.68km,02:28h,207hm,398 - 537m,rating-,rating-0,205242
['Lindensteak'],['medium'],['Hiking'],11.43km,02:30h,307hm,431 - 637m,rating-2,rating-3,129609
['Martinsgrabe'],['easy'],['Hiking'],6.45km,01:30h,211hm,431 - 595m,rating-1,rating-2,129612
['Skulpturenweg Dietwil'],[],['Thematic route'],4.69km,01:16h,89hm,436 - 523m,rating-,rating-0,294700
['Waldlehrpfad Emauswald'],['easy'],['Thematic route'],3.91km,01:00h,46hm,380 - 400m,rating-,rating-2,133127
['Schönes Jonental'],['easy'],['Hiking'],4.91km,01:30h,110hm,397 - 470m,rating-1,rating-2,133125
['Murimoosweg'],[],['Thematic route'],3.16km,00:47h,12hm,435 - 447m,rating-,rating-0,294701
['Aareblick'],['easy'],['Hiking'],9.41km,02:30h,57hm,397 - 428m,rating-2,rating-2,129642
['Remetschwil-Hägglingen leicht'],['easy'],['E-MTB'],23.78km,-,366hm,353 - 558m,rating-2,rating-3,563436
['Veloroute Knonaueramt'],['medium'],['Cycling'],48.19km,03:35h,430hm,380 - 554m,rating-2,rating-4,280171
['Auf den Spuren der Hugenotten'],['easy'],['Thematic route'],6.54km,01:45h,102hm,397 - 508m,rating-,rating-2,120809
['Höhenfahrten im Wynental'],['medium'],['Cycling'],25.36km,02:15h,560hm,496 - 781m,rating-2,rating-3,120853
['Skulpturenweg Dietwil'],[],['Thematic route'],4.69km,01:16h,89hm,436 - 523m,rating-,rating-0,294700
['Zwischen Geschichte und Sagen'],['medium'],['Hiking'],13.41km,03:30h,95hm,433 - 484m,rating-1,rating-3,120909
['Freiämter Veloweg'],['medium'],['Cycling'],66.99km,06:00h,270hm,360 - 493m,rating-1,rating-3,280159
['Liebegger Infopfad'],['easy'],['Thematic route'],3.77km,02:00h,128hm,428 - 531m,rating-,rating-2,120827
