title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Zum Stahl der Steinzeit'],['easy'],['Hiking'],8.39km,02:00h,196hm,420 - 570m,rating-1,rating-2,357325
['Chellenchöpfli & Passwang'],['medium'],['Hiking'],9.85km,03:00h,485hm,"924 - 1,204m",rating-2,rating-3,132998
['Wandererlebnis mit dem Bus - Augst - Saline'],[],['Hiking'],3.68km,01:00h,15hm,255 - 271m,rating-,rating-0,812811
['Rundwanderung Farnsberg'],['easy'],['Hiking'],5.88km,01:52h,213hm,581 - 760m,rating-,rating-2,548333
['Römertour: 2000 Jahre Rückblick'],['difficult'],['Cycling'],62.79km,04:30h,"1,046hm",264 - 739m,rating-2,rating-5,133037
['Zunzgerhard & Obstplantagen'],['medium'],['Hiking'],9.97km,02:45h,320hm,359 - 604m,rating-1,rating-3,132993
['Gempenplateau-Tour'],['medium'],['Mountainbike'],40.64km,03:00h,782hm,257 - 730m,rating-3,rating-3,371230
['Rundwanderung Wildenstein'],['easy'],['Hiking'],6.52km,01:48h,113hm,492 - 569m,rating-,rating-2,548336
['Olten-Belchen-Langenbruck-Olten'],['medium'],['Mountainbike'],30.66km,04:00h,745hm,"391 - 1,055m",rating-2,rating-3,130967
['Wahlen - Zum Stürmenchopf'],['medium'],['Hiking'],7.24km,02:30h,398hm,403 - 769m,rating-2,rating-3,357322
['Bike Trail Arlesheim'],['medium'],['Mountainbike'],11.39km,01:15h,317hm,277 - 586m,rating-3,rating-2,377011
['Rundwanderung Chaltbrunnental - Chastelbach'],['medium'],['Hiking'],7.94km,02:23h,231hm,322 - 544m,rating-3,rating-3,548337
['Wandererlebnis mit dem Bus - Lausen - Huppergruben - Liestal'],[],['Hiking'],6.08km,01:45h,149hm,326 - 532m,rating-,rating-0,812804
['Ergolztal - Alte und neue Berge'],['medium'],['Hiking'],16.12km,04:30h,377hm,275 - 572m,rating-2,rating-4,357320
['ViaSurprise-Zubringer: Liestal - Reigoldswil'],['medium'],['Hiking'],16.51km,04:30h,580hm,319 - 690m,rating-1,rating-4,130681
['Landwirtschaft (Ausflug in die Vergangenheit)'],['easy'],['Cycling'],27.73km,02:00h,67hm,254 - 336m,rating-,rating-2,357291
['Rundwanderung Chatzenstieg-Huerewägli'],['medium'],['Hiking'],5.18km,01:47h,254hm,"924 - 1,145m",rating-,rating-3,320784
['Erlebnisweg passepartout'],[],['Thematic route'],10.02km,02:48h,160hm,449 - 632m,rating-,rating-0,670385
['BLKB-Wanderung Sommerau - Giessen-Wisenberg - Ruine Homburg'],[],['Hiking'],12.17km,03:59h,569hm,"431 - 1,000m",rating-,rating-0,613198
['Waldenburg'],['easy'],['Hiking'],3.76km,02:00h,285hm,525 - 810m,rating-2,rating-2,357328
['Rundtour von Aesch via Ruine Pfeffingen und Duggingen'],['medium'],['Hiking'],8.71km,02:45h,306hm,295 - 496m,rating-2,rating-3,246771
['BLKB-Wanderung Reinach - Leywald - Reinach'],[],['Hiking'],4.49km,01:10h,58hm,307 - 364m,rating-,rating-0,610990
['Zunzgerhard & Obstplantagen'],['medium'],['Hiking'],9.97km,02:45h,320hm,359 - 604m,rating-1,rating-3,132993
['Ruinen Wartenberg & Rebenweg'],['medium'],['Hiking'],7.37km,02:00h,255hm,286 - 479m,rating-1,rating-3,132995
['Rundwanderung Wildenstein'],['easy'],['Hiking'],6.52km,01:48h,113hm,492 - 569m,rating-,rating-2,548336
['Blütenpracht im Baselbiet'],['medium'],['Hiking'],12.19km,03:35h,447hm,369 - 756m,rating-2,rating-3,114226
['Von Basel zum Mont Blanc Etappe 4: Laufen – Beinwil'],['difficult'],['Hiking'],19.76km,06:00h,569hm,331 - 877m,rating-1,rating-5,1040682
['Ergolz-Tour'],['medium'],['Mountainbike'],36.36km,03:15h,953hm,306 - 743m,rating-3,rating-3,371235
"[""Reigoldswil - Geheimnisse rund um's Horn""]",['medium'],['Hiking'],11.5km,02:30h,332hm,466 - 735m,rating-1,rating-3,357321
['Syydebändel & Rebenweg'],['medium'],['Hiking'],13.21km,03:30h,390hm,370 - 574m,rating-1,rating-3,133001
['Liestaler Aussichtsturm - Sissacherfluh'],['medium'],['Hiking'],10.3km,03:22h,556hm,308 - 702m,rating-1,rating-3,548334
['Bike Trail Arlesheim'],['medium'],['Mountainbike'],11.39km,01:15h,317hm,277 - 586m,rating-3,rating-2,377011
['Basler Weg: Aesch - Beinwil Kloster'],['difficult'],['Pilgrimage'],20.14km,06:16h,761hm,302 - 877m,rating-,rating-5,156872
['Wandererlebnis mit dem Bus - Reigoldswil - Bubendorf'],[],['Hiking'],11.8km,03:20h,248hm,372 - 691m,rating-,rating-0,812810
['Kunst und Unterhaltung (Ausflug in die Vergangenheit)'],['easy'],['Hiking'],2.6km,00:40h,29hm,266 - 296m,rating-,rating-1,357294
['Waldenburg'],['easy'],['Hiking'],3.76km,02:00h,285hm,525 - 810m,rating-2,rating-2,357328
['Huppergruben'],['easy'],['Hiking'],6.54km,02:00h,267hm,334 - 546m,rating-2,rating-2,133029
['Landwirtschaft (Ausflug in die Vergangenheit)'],['easy'],['Cycling'],27.73km,02:00h,67hm,254 - 336m,rating-,rating-2,357291
['Reinach - Leywald - Aesch'],['easy'],['Hiking'],4.5km,01:15h,72hm,307 - 364m,rating-1,rating-2,133023
['Zum Stahl der Steinzeit'],['easy'],['Hiking'],8.39km,02:00h,196hm,420 - 570m,rating-1,rating-2,357325
['Rundwanderung Chatzenstieg-Huerewägli'],['medium'],['Hiking'],5.18km,01:47h,254hm,"924 - 1,145m",rating-,rating-3,320784
['Wandererlebnis mit dem Bus - Reigoldswil - Büren'],[],['Hiking'],11.44km,03:25h,367hm,439 - 692m,rating-,rating-0,812809
['Tafeljura-Tour'],[],['Cycling'],33.4km,02:56h,716hm,398 - 739m,rating-,rating-0,377001
['Interregio-Wanderweg Etappe 6: Liestal – Aesch'],['easy'],['Hiking'],16.66km,05:00h,675hm,294 - 709m,rating-2,rating-2,543657
['BLKB-Wanderung Viadukt Rümlingen - Ruine Homburg'],[],['Hiking'],6.68km,02:05h,246hm,472 - 655m,rating-,rating-0,613197
['Huppergruben'],['easy'],['Hiking'],6.54km,02:00h,267hm,334 - 546m,rating-2,rating-2,133029
['Route Wasserfallen – Wasserfallen'],['medium'],['Hiking'],6.6km,02:17h,325hm,"928 - 1,186m",rating-3,rating-3,71375
['BLKB-Wanderung Sommerau - Giessen-Wisenberg - Ruine Homburg'],[],['Hiking'],12.17km,03:59h,569hm,"431 - 1,000m",rating-,rating-0,613198
['Ergolztal - Alte und neue Berge'],['medium'],['Hiking'],16.12km,04:30h,377hm,275 - 572m,rating-2,rating-4,357320
['Rundwanderung Wasserfallen 470'],['medium'],['Hiking'],9.86km,03:15h,426hm,"924 - 1,201m",rating-,rating-3,350190
['Herrliche Velotour durch die Baselbieter Reben'],['difficult'],['Cycling'],67.5km,04:15h,956hm,273 - 642m,rating-3,rating-5,130959
['Rebenweg Ziefen'],['easy'],['Hiking'],2.97km,00:50h,97hm,421 - 517m,rating-,rating-2,749250
