title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Zur Hohwacht im Oberaargau'],['medium'],['Hiking'],13.19km,03:40h,460hm,539 - 779m,rating-2,rating-3,114208
['Lötschberger-Nordrampe'],['medium'],['Hiking'],17.25km,04:50h,238hm,"779 - 1,205m",rating-3,rating-3,744928
['Wildhornhütte - Niesehore - Wildhornhütte'],['medium'],['Hiking'],5.62km,03:00h,530hm,"2,257 - 2,774m",rating-3,rating-3,131695
['Diemtigtaler Hausweg «Mittleres Tal»'],['easy'],['Thematic route'],10.2km,03:15h,434hm,"814 - 1,128m",rating-1,rating-2,295433
['Simmeflueh Klettersteig - Wimmis'],['easy'],['Via ferrata'],2.09km,03:00h,767hm,"626 - 1,393m",rating-,rating-0,114228
['Rundtour über den Rüwlispass - Hornberg ins Saanenland und retour'],['medium'],['Cycling'],31.82km,03:25h,950hm,"934 - 1,836m",rating-2,rating-4,700232
['Tour de Gruyère'],['difficult'],['Racing'],79.88km,03:30h,"1,269hm","691 - 1,634m",rating-2,rating-5,131760
['Lenk - Hahnenmoospass - Geils - Bergläger - Chatzehubel - retour'],['medium'],['Cycling'],24.69km,04:00h,"1,381hm","1,065 - 1,951m",rating-1,rating-3,691504
['Ins malerische Üschenetal'],['medium'],['Hiking'],7.6km,02:15h,150hm,"1,174 - 1,795m",rating-3,rating-2,51086
['Bahnhof-Bühl-Niedermatti'],['easy'],['Hiking'],3.56km,00:55h,34hm,"1,164 - 1,198m",rating-2,rating-2,744924
['Rundtour auf abenteuerlichen Wegen'],['medium'],['Hiking'],5.9km,03:00h,630hm,"1,357 - 1,919m",rating-4,rating-3,586723
['Lauenensee - Geltenhütte SAC - Lauenensee'],['medium'],['Hiking'],8.01km,04:00h,678hm,"1,378 - 2,056m",rating-3,rating-4,131600
['Durch Berns Kornkammer'],['medium'],['Hiking'],16.44km,04:00h,344hm,495 - 609m,rating-1,rating-3,51169
['Geschichte und Technik im Niedersimmental'],['medium'],['Hiking'],7.04km,02:30h,542hm,"746 - 1,066m",rating-3,rating-3,81700
['Im Naherholungsgebiet von Unterseen und Interlaken'],['easy'],['Hiking'],8.97km,02:15h,80hm,558 - 614m,rating-1,rating-2,508307
['Blümlisalp-Lauf - Stecke'],['medium'],['Running'],15.94km,05:05h,886hm,"706 - 1,409m",rating-4,rating-0,891249
['Lenk - Metsch - Metschmaad - Bühlberg - Lenk'],['easy'],['Cycling'],12.48km,01:40h,591hm,"1,068 - 1,659m",rating-1,rating-2,691505
['Bahnhof-Eggeschwand'],['easy'],['Hiking'],2.76km,00:40h,25hm,"1,170 - 1,195m",rating-2,rating-2,744923
['Moränensee Route'],['easy'],['Cycling'],25.49km,01:40h,197hm,553 - 750m,rating-1,rating-1,172139
['Über den Napf zu den Änzilochmannen'],['medium'],['Hiking'],10.71km,04:00h,780hm,"989 - 1,394m",rating-3,rating-3,67238
['Über die Greberegg zum Pochtenfall'],['medium'],['Hiking'],12.97km,04:50h,766hm,"979 - 1,650m",rating-3,rating-3,99641
['Alpine Bike 1 -  Kiental- Frutigen - Adelboden - Lenk'],[],['Mountainbike'],43.51km,06:15h,"1,496hm","761 - 1,951m",rating-,rating-0,870923
['Durch die malerische Cholereschlucht'],['medium'],['Hiking'],12.32km,04:00h,729hm,"573 - 1,113m",rating-3,rating-4,48958
['Heftig schönes Saxeten'],['difficult'],['Racing'],26.64km,02:10h,890hm,"566 - 1,457m",rating-4,rating-5,172138
"['Rund um den Thunersee, Merligen-Interlaken West']",[],['Hiking'],13.02km,03:57h,257hm,558 - 728m,rating-,rating-0,159602
['Rotengraben - Wintermatte - Heubergtal - Wintermatte - Rotengraben'],['medium'],['Hiking'],13.6km,04:20h,625hm,"1,372 - 1,988m",rating-,rating-3,707098
['Freeride Tour Sunnbüel'],['medium'],['Mountainbike'],4.64km,00:20h,737hm,"1,195 - 1,932m",rating-,rating-3,678610
['Über Juraweiden hart an der Sprachgrenze'],['easy'],['Hiking'],11.35km,03:30h,552hm,"708 - 1,118m",rating-2,rating-2,51190
['Wildweg Sparenmoos (Rundwanderung)'],['easy'],['Thematic route'],1.95km,00:45h,66hm,"1,693 - 1,757m",rating-2,rating-2,131617
['Von Moutier via Mont Raimeux nach Corcelles'],['medium'],['Hiking'],15.8km,04:30h,850hm,"529 - 1,301m",rating-2,rating-2,624965
['Von Saanen via Rellerligrat und Hundsrügg nach Jaunpass'],['medium'],['Hiking'],17km,05:45h,"1,300hm","1,020 - 2,047m",rating-2,rating-3,616579
['Über den Schnitzlerweg zum verträumten Hinterburgseeli'],['medium'],['Hiking'],10.74km,03:50h,620hm,"1,521 - 1,878m",rating-4,rating-3,97364
['Interlaken - Ringgenberg - Roteflue - Harder Kulm'],['difficult'],['Hiking'],11.92km,05:30h,"1,192hm","564 - 1,756m",rating-2,rating-5,131163
['Blueme III'],['medium'],['Mountainbike'],26.93km,03:00h,"1,320hm","566 - 1,392m",rating-3,rating-4,133928
