title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Isenfluh - Fauteuil des Berner Oberlands'],['medium'],['Hiking'],8.08km,03:10h,419hm,"1,085 - 1,883m",rating-3,rating-4,114264
['Der Kander entlang ins Tal der Simme'],['easy'],['Hiking'],13.87km,03:20h,130hm,631 - 781m,rating-2,rating-2,57280
['Saanenmöser – Schönried – Gstaad'],['easy'],['Hiking'],6.97km,02:00h,9hm,"1,049 - 1,274m",rating-1,rating-1,348116
['Apollo Run (Mürren)'],['medium'],['Sledge'],3.41km,00:30h,2hm,"1,638 - 2,123m",rating-4,rating-3,288422
['Sonnenweg (Alpen tower - Käserstatt)'],['medium'],['Hiking'],5.69km,02:00h,96hm,"1,830 - 2,233m",rating-3,rating-3,131938
['Abenteuer Zulggraben'],['difficult'],['Hiking'],21.08km,06:00h,820hm,"586 - 1,028m",rating-3,rating-5,51390
['First - Schwarzhorn - First Nr. 18'],['difficult'],['Hiking'],9.8km,04:50h,941hm,"2,078 - 2,924m",rating-5,rating-4,990998
['Rellerli Bike Nr. 890: Saanen - Mittelberg - Rellerli - Saanen'],['medium'],['Mountainbike'],24.62km,03:15h,903hm,"1,010 - 1,862m",rating-3,rating-3,131689
['Wetterhorn Trail - Grindelwald'],['medium'],['Snowshoe'],3.24km,01:20h,170hm,"1,229 - 1,399m",rating-3,rating-3,70017
['Schönried - Rellerli - Grossi Vorschess – Schönried'],['medium'],['Winter hiking'],7.68km,02:50h,498hm,"1,241 - 1,739m",rating-3,rating-4,1002580
['Durch das Wachseldornmoos'],['easy'],['Hiking'],5.74km,01:25h,50hm,"905 - 1,009m",rating-1,rating-1,508330
['Axalphorn'],['medium'],['Snowshoe'],3.06km,04:00h,548hm,"1,885 - 2,308m",rating-,rating-3,131951
['Der Winter Sonnentrail W3'],['difficult'],['Trailrunning'],17.9km,03:15h,532hm,"1,040 - 2,660m",rating-4,rating-5,524951
['Allmenalp Klettersteig - Kandersteg'],['difficult'],['Via ferrata'],1.42km,03:30h,533hm,"1,187 - 1,720m",rating-,rating-3,76710
['Sommerfrische im Wilden Westen'],['easy'],['Hiking'],5.71km,01:25h,100hm,555 - 650m,rating-2,rating-1,57566
['Auf dem Niesenbänkli erholen sich nicht nur Kurgäste'],['easy'],['Hiking'],6.05km,01:50h,180hm,"966 - 1,175m",rating-2,rating-2,51254
['Wandern am Wasser - Gäbelbach'],['easy'],['Hiking'],8.24km,02:15h,30hm,481 - 568m,rating-1,rating-2,174602
['Auf Reben- und Pilgerwegen'],['medium'],['Hiking'],9.45km,03:00h,458hm,432 - 690m,rating-2,rating-3,49253
['Schynige Platte - Männdlenen - Faulhorn - First Nr. 62'],['medium'],['Hiking'],15.96km,05:24h,835hm,"1,911 - 2,672m",rating-3,rating-4,131981
['Schlittelweg Sparenmoos - Zweisimmen'],['medium'],['Sledge'],5.88km,01:20h,9hm,"974 - 1,660m",rating-3,rating-3,97609
"['Lenk-Trütlisberg-Leiterli, Naturerlebnisse an der Lenk']",['medium'],['Hiking'],13.02km,04:50h,"1,000hm","1,079 - 2,079m",rating-3,rating-4,114192
['Mürren - Sonnenberg - Allmendhubel'],['easy'],['Winter hiking'],2.05km,01:00h,278hm,"1,638 - 1,909m",rating-2,rating-2,131881
['Rundweg Metschstand'],['easy'],['Hiking'],4.25km,01:24h,195hm,"1,899 - 2,094m",rating-,rating-2,306061
['Zu einem der schönsten Amtssitze im Kanton Bern'],['easy'],['Hiking'],10.18km,02:25h,150hm,533 - 784m,rating-1,rating-2,50214
"['Gibelweg - Von Alp zu Alp, hoch über dem Hasliberg']",['medium'],['Hiking'],7.07km,02:40h,365hm,"1,671 - 2,030m",rating-3,rating-3,50388
['Karrenfelder und Tümpel'],['medium'],['Hiking'],14.25km,05:10h,950hm,"1,116 - 1,871m",rating-4,rating-4,62314
['Berner-Oberländer-Weg: Brienz - Interlaken (Variante A)'],['difficult'],['Pilgrimage'],18.64km,05:35h,534hm,564 - 760m,rating-,rating-5,156735
['Oeschinensee to Kandersteg'],['medium'],['Hiking'],10.83km,05:30h,315hm,"1,176 - 1,987m",rating-2,rating-3,277615
['Sentier des Monts - Mont Crosin'],['easy'],['Hiking'],5.94km,01:40h,120hm,"1,172 - 1,290m",rating-1,rating-2,51393
['Grindelwald - Schwendi - Burglauenen Nr. 102'],['easy'],['Hiking'],6.12km,01:35h,3hm,"893 - 1,043m",rating-1,rating-2,991006
['Veloweg Lenk - Simmenfälle'],['easy'],['Cycling'],9.68km,00:40h,41hm,"1,064 - 1,105m",rating-1,rating-1,1034393
['Alpwanderung hoch über dem Arnesee'],['difficult'],['Hiking'],11.01km,04:30h,"1,000hm","1,180 - 1,913m",rating-4,rating-5,50212
['Berner-Oberländer- Weg: Thun - Amsoldingen (Variante B)'],['easy'],['Pilgrimage'],11.34km,03:00h,159hm,558 - 665m,rating-,rating-1,208213
['Gsteig - Walliser Wispile (1982 M.ü.M)'],['medium'],['Ski tour'],5.1km,02:20h,802hm,"1,183 - 1,982m",rating-3,rating-3,917887
['Winterwanderweg Saanenwald'],['medium'],['Winter hiking'],7.09km,02:45h,350hm,"1,265 - 1,589m",rating-3,rating-4,98482
['Grütsch Trail'],['difficult'],['Mountainbike'],2.97km,00:17h,1hm,"882 - 1,484m",rating-5,rating-5,185138
