title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Tour de la Chia'],['easy'],['Cycling'],23.07km,02:00h,630hm,"737 - 1,350m",rating-1,rating-2,761144
['Entre le Lac Léman et La Gruyère'],['medium'],['Racing'],64.46km,03:35h,978hm,"710 - 1,260m",rating-,rating-3,795297
['Übersicht der Etappen Familien-Routen'],['easy'],['Long distance cycling'],208.23km,14:00h,272hm,428 - 529m,rating-1,rating-1,183419
['Tour du Moléson'],['medium'],['Mountainbike'],41.62km,03:30h,"1,026hm","685 - 1,542m",rating-1,rating-3,823054
['Rund um die Gastlosen – keine ungastliche Wanderung'],['medium'],['Hiking'],10.98km,04:15h,625hm,"1,477 - 1,904m",rating-4,rating-4,114252
['Charmey - Lac Noir - Jaun'],['medium'],['Mountainbike'],35.45km,03:15h,"1,131hm","855 - 1,580m",rating-2,rating-3,793251
['The Cheese Trail'],['medium'],['Hiking'],12.19km,04:00h,715hm,"749 - 1,233m",rating-2,rating-4,247254
['3 parcs naturels - 3 cols'],['difficult'],['Racing'],145.32km,07:00h,"3,428hm","664 - 1,853m",rating-1,rating-5,707091
['Circuit Gros Plané - Le Niremont - Les Alpettes'],['medium'],['Mountainbike'],36.79km,03:30h,"1,155hm","728 - 1,513m",rating-2,rating-3,823030
['Le Cousimbert - La Berra - La Valsainte'],['medium'],['Mountainbike'],58.81km,06:00h,"1,611hm","674 - 1,719m",rating-4,rating-4,707092
['Walk to Broc and Cailler Chocolate Factory'],['easy'],['Hiking'],7.43km,02:00h,90hm,687 - 813m,rating-1,rating-1,247240
['Circuit autour de La Berra'],['medium'],['Mountainbike'],24.59km,02:30h,847hm,"1,009 - 1,719m",rating-2,rating-3,819426
['Bäumiges Freiburg 1'],['medium'],['Hiking'],16.67km,05:00h,310hm,737 - 920m,rating-2,rating-4,276260
['Gantrisch-Fribourg-Weg: Fribourg - Romont'],['difficult'],['Pilgrimage'],29.22km,07:47h,500hm,567 - 781m,rating-,rating-5,156762
['Circuit Gruyères - Moléson Village'],['medium'],['Mountainbike'],16.49km,02:15h,620hm,"736 - 1,230m",rating-1,rating-3,893017
['Le long de la Trême'],['easy'],['Cycling'],33.88km,03:00h,907hm,"743 - 1,470m",rating-1,rating-2,761157
['La Valsainte/Charmey depuis Bulle'],['medium'],['Mountainbike'],35.49km,03:30h,642hm,"677 - 1,019m",rating-2,rating-3,769390
['Boucle La Berra - Lac Noir - Charmey'],['difficult'],['Mountainbike'],52.06km,04:00h,"2,095hm","855 - 1,712m",rating-3,rating-5,819437
['Château de Gruyères - Chocolaterie Cailler - Maison du Gruyère'],['easy'],['Cycling'],14.4km,01:30h,232hm,678 - 808m,rating-,rating-1,848062
['Von Châtel-sur-Montsalvens via Gorges de la Jogne - Mont Bifé - Vanil des Cours - nach Corbières'],['medium'],['Hiking'],15.5km,05:30h,"1,140hm","718 - 1,562m",rating-2,rating-3,616598
['Boucle La Berra - Lac Noir - Charmey'],['difficult'],['Mountainbike'],52.06km,04:00h,"2,095hm","855 - 1,712m",rating-3,rating-5,819437
['Übersicht der Etappen Familien-Routen'],['easy'],['Long distance cycling'],208.23km,14:00h,272hm,428 - 529m,rating-1,rating-1,183419
['La Route du Chocolat et du Fromage'],['easy'],['Cycling'],27.29km,02:00h,219hm,678 - 806m,rating-,rating-2,707086
['Von Jaun Dorf via Wolfs Ort nach SAC Grubenberghütte'],['medium'],['Hiking'],10.2km,03:45h,"1,100hm","1,000 - 1,915m",rating-3,rating-3,616560
['Circuit Château de Gruyères - Grandvillard'],['easy'],['Cycling'],15.93km,01:30h,174hm,696 - 808m,rating-,rating-2,859951
['Von Châtel-sur-Montsalvens via Gorges de la Jogne - Mont Bifé - Vanil des Cours - nach Corbières'],['medium'],['Hiking'],15.5km,05:30h,"1,140hm","718 - 1,562m",rating-2,rating-3,616598
"['Open Bike Haute-Gruyère, grand parcours']",['medium'],['Mountainbike'],42.48km,03:30h,"1,239hm","697 - 1,118m",rating-2,rating-3,823040
['Charmey - Buvette Hauta Chia'],['medium'],['Mountainbike'],26.69km,02:45h,816hm,"855 - 1,474m",rating-1,rating-3,859955
['The Cheese Trail'],['medium'],['Hiking'],12.19km,04:00h,715hm,"749 - 1,233m",rating-2,rating-4,247254
['Tour du lac de la Gruyère'],['easy'],['Racing'],47.5km,03:00h,758hm,659 - 953m,rating-,rating-2,823067
['Le Cousimbert - La Berra - La Valsainte'],['medium'],['Mountainbike'],58.81km,06:00h,"1,611hm","674 - 1,719m",rating-4,rating-4,707092
['Charmey - Lac Noir - Jaun'],['medium'],['Mountainbike'],35.45km,03:15h,"1,131hm","855 - 1,580m",rating-2,rating-3,793251
['Circuit Gruyères - Moléson Village'],['medium'],['Mountainbike'],16.49km,02:15h,620hm,"736 - 1,230m",rating-1,rating-3,893017
['Gantrisch-Fribourg-Weg: Fribourg - Romont'],['difficult'],['Pilgrimage'],29.22km,07:47h,500hm,567 - 781m,rating-,rating-5,156762
['Schwarzsee - Patraflon - Pointe de Balachaux - Schopfenspitz - Combi - Stierenberg - Schwarzsee'],['medium'],['Hiking'],14.8km,05:30h,"1,300hm","1,046 - 2,104m",rating-3,rating-4,910305
['Geschichte zweier Epochen am Mont Vully'],['easy'],['Hiking'],11.78km,03:30h,350hm,429 - 647m,rating-2,rating-2,109935
['Wanderung von der Berg- zu Mittelstation'],['easy'],['Hiking'],2.62km,01:02h,56hm,"1,474 - 1,824m",rating-3,rating-3,716667
['Patraflon & Schopfenspitz'],['medium'],['Hiking'],15.54km,04:38h,"1,185hm","1,059 - 2,094m",rating-4,rating-5,777470
['Stadtwanderung Fribourg'],['easy'],['Hiking'],6.45km,01:56h,158hm,531 - 625m,rating-1,rating-1,555309
['Dent de Broc ⛰'],['difficult'],['Hiking'],10.55km,03:34h,"1,108hm","725 - 1,814m",rating-5,rating-6,615619
['Charmey - La Valsainte'],['easy'],['Thematic route'],5.22km,02:00h,196hm,"880 - 1,008m",rating-2,rating-2,63229
['Dent de Broc ⛰'],['difficult'],['Hiking'],10.55km,03:34h,"1,108hm","725 - 1,814m",rating-5,rating-6,615619
"['Via Le Gruyère AOP, Etappe 3a']",['easy'],['Thematic route'],6.34km,02:00h,146hm,702 - 835m,rating-,rating-2,75536
['Riggisalp-Brecca-Schwarzsee Gypsera'],['medium'],['Hiking'],10.4km,03:17h,148hm,"1,040 - 1,509m",rating-4,rating-4,814906
['GFW 39 - Buechechäppeli'],[],['Hiking'],8.08km,02:20h,250hm,"801 - 1,039m",rating-,rating-0,891224
['Patraflon & Schopfenspitz'],['medium'],['Hiking'],15.54km,04:38h,"1,185hm","1,059 - 2,094m",rating-4,rating-5,777470
['Jerusalemweg: Romont - Fribourg'],['difficult'],['Pilgrimage'],28.83km,07:15h,340hm,569 - 779m,rating-1,rating-6,131280
"['Via Le Gruyère AOP, Etappe 6b']",['easy'],['Thematic route'],7.65km,04:00h,288hm,759 - 994m,rating-,rating-2,114424
['Vanil Noir'],['difficult'],['Hiking'],22.36km,08:00h,942hm,"929 - 1,723m",rating-5,rating-5,60581
['Gruyères - Aérodrome - Gruyères'],['easy'],['Hiking'],5.81km,01:40h,127hm,689 - 808m,rating-,rating-1,771105
['Kleinbösingen Rundgang'],['easy'],['Hiking'],6.58km,01:25h,81hm,490 - 565m,rating-3,rating-3,555780
['Boucle Courtepin 3h'],['easy'],['Hiking'],16.26km,03:00h,231hm,461 - 593m,rating-1,rating-2,558481
"['Via Le Gruyère AOP, Etappe 4']",['easy'],['Thematic route'],3.15km,02:00h,123hm,764 - 882m,rating-,rating-2,75535
"['Via Le Gruyère AOP, Etappe 3b']",['medium'],['Thematic route'],10.16km,04:00h,372hm,735 - 952m,rating-,rating-4,114432
['Bulle - Mont de Riaz - Sorens - Gumefens - Bulle'],['medium'],['Mountainbike'],30.73km,03:20h,619hm,"677 - 1,116m",rating-,rating-3,767150
"['Via Le Gruyère AOP, Etappe 6a']",['easy'],['Thematic route'],3.38km,02:00h,92hm,774 - 882m,rating-,rating-2,75539
['Stierenberglauf 2020'],['medium'],['Trailrunning'],9.91km,01:23h,570hm,"1,048 - 1,513m",rating-5,rating-5,769094
"['Via Le Gruyère AOP, Etappe 8']",['medium'],['Thematic route'],9.13km,04:00h,504hm,"970 - 1,512m",rating-,rating-4,75540
"['Via Le Gruyère AOP, Etappe 1a']",['easy'],['Thematic route'],5.31km,02:00h,179hm,"885 - 1,022m",rating-,rating-2,75530
