title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Via Francigena: Variante Romainmôtier'],['easy'],['Pilgrimage'],12.82km,03:28h,185hm,482 - 715m,rating-,rating-2,545709
['Über die Sprachgrenze ins Saanenland'],['easy'],['Hiking'],7.46km,02:00h,180hm,"970 - 1,049m",rating-2,rating-2,508310
['Rocher de Naye'],['medium'],['Mountainbike'],11.89km,01:21h,133hm,"389 - 1,972m",rating-4,rating-3,61633
['La Videmanette – Les Prax – Ruble – La Videmanette'],['medium'],['Hiking'],6.6km,02:30h,430hm,"1,767 - 2,153m",rating-3,rating-3,348124
['Via Francigena: AIVF Variante via Bex'],['easy'],['Pilgrimage'],10.7km,03:01h,227hm,413 - 535m,rating-,rating-2,335815
['Col du Pillon - Lac Retaud - Arnensee - Feutersoey'],['medium'],['Hiking'],12.34km,04:00h,451hm,"1,129 - 1,916m",rating-2,rating-4,131697
['Swiss fine wine trail - Lavaux (UNESCO)'],['easy'],['Thematic route'],6.04km,01:47h,133hm,382 - 476m,rating-1,rating-1,114358
['Via Francigena: Vevey - Aigle'],['difficult'],['Pilgrimage'],26.13km,06:39h,158hm,373 - 523m,rating-,rating-5,156802
['LEY-WIW- Le Flot de Crête'],['easy'],['Winter hiking'],4.58km,01:22h,108hm,"1,142 - 1,386m",rating-,rating-2,167065
['Route Château de Chillon – Le Bouveret'],['easy'],['Hiking'],10.55km,02:41h,56hm,370 - 390m,rating-2,rating-2,71485
['Pässewanderung im Grenzgebiet Bern - Waadt'],['medium'],['Hiking'],10.98km,04:00h,620hm,"1,177 - 1,919m",rating-4,rating-3,162917
['Swiss fine wine trail - La Côte'],['easy'],['Hiking'],7.28km,01:56h,95hm,396 - 552m,rating-1,rating-1,114360
['Glacier 3000 - Arpelistock (3036 M.Ü.M)'],['difficult'],['Ski tour'],9.56km,02:20h,796hm,"2,239 - 3,035m",rating-6,rating-5,948836
['Route Eclépens – Chavornay'],['medium'],['Hiking'],12.57km,03:32h,281hm,447 - 613m,rating-3,rating-3,63184
