title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Somtgant - Piz Martegnas - Somtgant'],['medium'],['Hiking'],8.24km,03:04h,791hm,"1,886 - 2,639m",rating-4,rating-4,66260
['Wintertrailrunning: La Plaiv auf SchweizMobil Route 315'],['easy'],['Trailrunning'],13.2km,02:05h,158hm,"1,627 - 1,741m",rating-1,rating-2,606368
['Rund um den Piz Lagalb'],['medium'],['Trailrunning'],13.14km,02:16h,395hm,"2,092 - 2,486m",rating-3,rating-4,131022
['Alp Es-cha Dadour'],['medium'],['Winter hiking'],8.7km,02:50h,376hm,"1,691 - 2,062m",rating-3,rating-3,1002713
['Falera - Laax - Falera'],['easy'],['Hiking'],7.37km,02:00h,270hm,"963 - 1,213m",rating-2,rating-2,132166
['Wolfssuche / La tscherca dil luf'],['medium'],['Hiking'],7.96km,03:00h,225hm,"1,085 - 1,348m",rating-2,rating-3,363411
['Schlittelweg Gondelbahn Kulm'],['medium'],['Sledge'],1.38km,00:05h,2hm,"1,847 - 2,043m",rating-3,rating-4,98066
['Mises Grond Cavorgia  Rundtour'],['easy'],['Snowshoe'],5.07km,02:30h,300hm,"1,350 - 1,649m",rating-1,rating-2,478960
['Kulturweg Voia Culturala Brienz/Brinzauls - Vazerol'],[],['Thematic route'],5.2km,02:23h,303hm,"1,061 - 1,171m",rating-,rating-0,55809
['Val Fex Rundweg (Muotta da Güvè)'],['easy'],['Winter hiking'],6.06km,02:00h,265hm,"1,808 - 2,035m",rating-,rating-2,132364
['Via Bregaglia 1. Etappe: Maloja - Vicosoprano'],['medium'],['Hiking'],11.31km,03:20h,55hm,"1,063 - 1,860m",rating-3,rating-3,107905
['257 Calörtsch (Cross Country)'],['medium'],['Mountainbike'],23.98km,03:15h,"1,012hm","635 - 1,580m",rating-1,rating-3,194361
"[""Plang la Curvanera - Pass digls Orgels - Pass d'Ela - Preda""]",['difficult'],['Hiking'],18.93km,07:00h,"1,494hm","1,747 - 2,821m",rating-5,rating-5,66824
['Höhenwanderung auf Planetenlehrpfad Falera - Murschetg'],['easy'],['Hiking'],3.87km,01:15h,55hm,"1,077 - 1,223m",rating-1,rating-2,132167
['Panoramawanderung zwischen Piz Mundaun und Piz Sezner'],['medium'],['Hiking'],6.77km,02:45h,544hm,"1,980 - 2,309m",rating-2,rating-4,572008
['Rheinwanderung: Sedrun - Disentis'],['medium'],['Hiking'],14.76km,04:30h,299hm,"1,041 - 1,454m",rating-2,rating-4,172439
['Tektoni - und der Flug durchs Martinsloch'],['medium'],['Thematic route'],8.14km,02:57h,457hm,"2,089 - 2,467m",rating-,rating-3,486924
['Feldis Rundtour'],['medium'],['Mountainbike'],31.12km,04:44h,"1,213hm","588 - 1,641m",rating-3,rating-4,151546
['Runda Claustra'],['difficult'],['Cycling'],55.31km,05:40h,"1,671hm","1,019 - 1,961m",rating-,rating-6,1034251
['STM-DW - Chamanna Coaz'],[],['Hiking'],17.59km,06:30h,596hm,"2,519 - 2,754m",rating-,rating-0,656496
['EX Op de thee in het Survretta House'],[],['Hiking'],8.9km,02:37h,283hm,"1,768 - 1,962m",rating-,rating-0,919442
['Rundstrecke für Ausdauerende Trailrunner'],['medium'],['Trailrunning'],10.24km,01:50h,343hm,"1,820 - 2,142m",rating-,rating-4,758855
['Skihaus Hochwang - Peist'],['medium'],['Winter hiking'],6.81km,01:58h,-,"1,243 - 1,957m",rating-1,rating-3,98058
