title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
"['Beizen, Burg und Roggenflue']",['medium'],['Hiking'],11.53km,04:00h,600hm,440 - 998m,rating-3,rating-3,526859
['Olten-Dottenberg-Hauenstein-Schmutzberg-Olten'],['medium'],['Mountainbike'],25.31km,03:30h,756hm,391 - 894m,rating-2,rating-3,130966
['Abwechslungsreiche Wanderung in der Ajoie'],['easy'],['Hiking'],13.47km,03:15h,154hm,424 - 548m,rating-2,rating-2,111113
['LEY-MTB - Pierre du Moëllé & Les Fers'],[],['Mountainbike'],18.55km,02:43h,748hm,"1,326 - 1,708m",rating-,rating-0,729591
"['Mittelland-Route, Etappe 5: Von Solothurn nach Ins']",['difficult'],['Cycling'],62.86km,04:30h,43hm,427 - 460m,rating-3,rating-6,471931
['Drei-Seen-Weg: Variante Münchenwiler -Herberge'],['easy'],['Pilgrimage'],5.39km,01:23h,60hm,447 - 507m,rating-,rating-2,514914
['LEY-DW - Pierre du Moëllé'],['medium'],['Hiking'],14.15km,04:51h,688hm,"1,371 - 1,974m",rating-3,rating-4,108716
['Leysin: DW Door het Berengat'],['easy'],['Hiking'],8.51km,03:17h,585hm,"1,107 - 1,678m",rating-1,rating-2,104854
['Von Basel zum Mont Blanc Etappe 3: Mariastein – Laufen'],['medium'],['Hiking'],13.3km,04:00h,367hm,337 - 788m,rating-1,rating-4,1040681
['Von Porrentruy nach St-Ursanne'],['medium'],['Hiking'],17.62km,05:30h,800hm,422 - 886m,rating-2,rating-4,55733
['Basler Weg: Solothurn - Fraubrunnen (Variante A)'],['medium'],['Pilgrimage'],17.52km,04:26h,174hm,427 - 522m,rating-,rating-3,278083
['DW Leysin - Aigle'],['medium'],['Hiking'],13.69km,04:16h,277hm,"413 - 1,575m",rating-2,rating-3,104893
['Vom Ufer des Tabeillon zum Doubs'],['medium'],['Hiking'],13.14km,04:00h,570hm,490 - 932m,rating-3,rating-3,162959
['Von Noiraigue nach Creux du Van'],['medium'],['Hiking'],14.3km,04:30h,750hm,"725 - 1,456m",rating-3,rating-3,616594
['Chälegrabenschlucht & Remelturm'],['medium'],['Hiking'],15.49km,04:30h,600hm,453 - 825m,rating-2,rating-4,133002
['Der Weg der Giesser bei Oensingen'],['easy'],['Hiking'],12.16km,03:50h,480hm,462 - 799m,rating-2,rating-2,109933
['Panoramatour'],['medium'],['Hiking'],8.31km,03:30h,798hm,"655 - 1,395m",rating-2,rating-3,130619
['Sanfte Höhen am Rande des Grossen Mooses'],['medium'],['Hiking'],11.85km,03:00h,232hm,443 - 532m,rating-1,rating-3,49563
['Zum Chaux d’Abel'],[],['Hiking'],9.94km,02:50h,200hm,"791 - 1,204m",rating-,rating-0,276210
['Von Olten nach Grenchen'],['easy'],['Cycling'],52.81km,04:00h,168hm,391 - 546m,rating-1,rating-2,471934
['Die anspruchsvolle Bergwanderung'],['difficult'],['Hiking'],6.29km,04:30h,"1,400hm","1,540 - 2,940m",rating-4,rating-5,76674
['Swiss fine wine trail - Vully'],['easy'],['Thematic route'],4.98km,01:25h,87hm,426 - 498m,rating-1,rating-1,114354
"[""Roche-d'Or""]",['medium'],['Hiking'],15.87km,04:40h,504hm,527 - 839m,rating-2,rating-3,70030
['Grenchen Bike (560)'],['easy'],['Mountainbike'],12.92km,01:30h,349hm,579 - 772m,rating-2,rating-2,995273
['Natur pur Solothurn'],['easy'],['Cycling'],26.16km,01:45h,66hm,427 - 490m,rating-1,rating-1,471941
['Basler Weg: Beinwil Kloster - Welschenrohr'],['difficult'],['Pilgrimage'],17.25km,05:44h,875hm,"565 - 1,204m",rating-,rating-5,156871
['Bus to Col du Pillon. Walk to Arnensee'],['medium'],['Hiking'],12.58km,04:00h,457hm,"1,130 - 1,898m",rating-2,rating-3,247255
['LEY-RACE - Militaire weg'],[],['Racing'],61.69km,04:36h,"1,547hm","413 - 1,554m",rating-,rating-0,552514
['Fuchsboden-Trail'],['easy'],['Snowshoe'],5.14km,02:30h,204hm,"1,182 - 1,303m",rating-2,rating-2,505375
['Historie-Tour Solothurn'],['easy'],['Cycling'],25.72km,01:30h,132hm,418 - 546m,rating-1,rating-1,471943
['Vom Schwarzsee auf die Kaiseregg'],['medium'],['Hiking'],12.81km,04:45h,758hm,"1,046 - 2,184m",rating-3,rating-4,174060
['ViaSurprise-Rundroute (6 Tage)'],['difficult'],['Hiking'],85.36km,25:25h,"2,947hm","288 - 1,204m",rating-1,rating-6,157619
['Basler Weg: Solothurn - Fraubrunnen (Variante A)'],['medium'],['Pilgrimage'],17.52km,04:26h,174hm,427 - 522m,rating-,rating-3,278083
['Von Basel zum Mont Blanc Etappe 6: Welschenrohr – Obergrenchenberg'],['difficult'],['Hiking'],19.45km,06:30h,"1,041hm","676 - 1,409m",rating-2,rating-6,1040673
['Hägendorf - Tüfelsschlucht - Belchen - Olten'],['difficult'],['Hiking'],15.86km,05:00h,775hm,"395 - 1,059m",rating-2,rating-5,130970
['Von Nesselboden über Balmfluhköpfli und Stigelos nach Oberdorf'],['medium'],['Hiking'],9.49km,03:15h,305hm,"654 - 1,289m",rating-2,rating-3,174640
