title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Mittelpunkt Aargau'],['easy'],['Hiking'],11.18km,03:10h,250hm,354 - 647m,rating-2,rating-2,276181
['Grossteilerberg Bike'],['medium'],['Mountainbike'],17.78km,02:03h,655hm,"481 - 1,135m",rating-,rating-3,257134
['Bergwanderung Wildspitz'],['medium'],['Hiking'],11.96km,04:30h,822hm,"765 - 1,580m",rating-2,rating-4,130918
['Walking- und Joggingrouten in der Region Eigenamt'],['medium'],['Running'],13.51km,03:30h,198hm,381 - 472m,rating-,rating-3,120881
['Klettersteig Diavolo (Bis voraussichtlich Ende Mai geschlossen)'],[],['Via ferrata'],1km,02:30h,519hm,"1,397 - 1,916m",rating-,rating-0,260871
['Vier-Seen-Wanderung'],['medium'],['Hiking'],19.6km,06:30h,"1,567hm","1,001 - 2,312m",rating-3,rating-3,6738
['Himmlische Pfade: Einsiedeln - Stadt Zug'],['difficult'],['Pilgrimage'],28.32km,08:20h,700hm,"415 - 1,152m",rating-,rating-6,156896
['5-Hütten-Panoramaweg: Etappe 1  Göschenen zur Dammahütte SAC'],['medium'],['Hiking'],13.41km,05:10h,"1,416hm","1,106 - 2,438m",rating-3,rating-3,252517
['Riedalp-Trail Brunni'],['medium'],['Snowshoe'],2.89km,01:30h,129hm,"1,513 - 1,631m",rating-,rating-3,281733
['Schneeschuh Tour von  Luthern Bad auf den Napf'],['difficult'],['Snowshoe'],8.89km,04:30h,566hm,"873 - 1,404m",rating-,rating-5,161140
['Etappe: Stoos - Morschach | Schwyzer Tal- & Gipfeltour'],['medium'],['Hiking'],4.95km,02:03h,27hm,"642 - 1,295m",rating-1,rating-3,114184
['Walenpfad'],['medium'],['Hiking'],11.8km,03:30h,801hm,"1,583 - 1,912m",rating-3,rating-3,6736
['Hitzkirch - Horben - Lieli - Hitzkirch'],['easy'],['Hiking'],19.7km,05:35h,540hm,470 - 858m,rating-,rating-2,254356
['Rossweid - Kemmeribodenbad'],['easy'],['Hiking'],9.19km,02:33h,-,"975 - 1,463m",rating-2,rating-2,199934
['Wildromantische Wanderung in der Göscheneralp'],['medium'],['Hiking'],9.01km,02:57h,179hm,"1,120 - 1,786m",rating-3,rating-2,86669
['Kleiner Rundweg Leutschen'],['easy'],['Hiking'],4.34km,01:10h,70hm,422 - 492m,rating-,rating-1,491848
['Muotathal - Pfannenstock'],['difficult'],['Hiking'],16.31km,05:00h,"1,495hm","955 - 2,450m",rating-4,rating-6,504722
