title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
"['Nebel im Tal, Schnee auf den Bergen']",['medium'],['Winter hiking'],8.77km,02:30h,360hm,694 - 945m,rating-4,rating-4,894840
['Tour de Thurgau (Weinfelden – Fischingen)'],['difficult'],['Cycling'],109.83km,07:45h,800hm,386 - 625m,rating-4,rating-5,195068
['Route des Staunens Flums'],['easy'],['Hiking'],5.01km,01:30h,71hm,435 - 492m,rating-1,rating-1,131494
['Wanderung zum Muttsee'],['difficult'],['Hiking'],10.03km,04:30h,906hm,"1,871 - 2,570m",rating-,rating-5,251375
['Etappe 16 Via Glaralpina - UNESCO Weltnaturerbe - aussergewöhnlich nah'],['difficult'],['Hiking'],17.81km,08:15h,"1,500hm","1,256 - 2,509m",rating-5,rating-5,336232
['Rundwanderung Hemishofen (via Burg Hohenklingen)'],['medium'],['Hiking'],14.58km,04:45h,463hm,415 - 613m,rating-3,rating-4,238934
['Von Vättis zur Walsersiedlung St.Martin'],['medium'],['Hiking'],8.06km,02:35h,447hm,"944 - 1,351m",rating-2,rating-3,286188
['Gluristal'],['easy'],['Ski tour'],9.33km,02:05h,648hm,"892 - 2,042m",rating-2,rating-2,948833
['Walensee-Trail 474'],['medium'],['Running'],13.83km,02:28h,405hm,422 - 664m,rating-3,rating-4,131518
['Schleitheimer Randenturm'],['medium'],['Hiking'],11.98km,03:30h,477hm,472 - 896m,rating-2,rating-4,238944
['Walk to Elm'],['difficult'],['Hiking'],24.25km,09:00h,"1,292hm","968 - 2,223m",rating-2,rating-6,219445
['Die herbstliche Fülle des Altweibersommers'],['medium'],['Hiking'],8.74km,02:46h,420hm,668 - 856m,rating-3,rating-3,559480
['Themenweg Wald'],['easy'],['Thematic route'],1.42km,00:30h,43hm,"1,339 - 1,390m",rating-1,rating-1,593361
['Schaffhausen - Stein am Rhein (Via Rhenana)'],['medium'],['Hiking'],22.04km,05:35h,64hm,391 - 432m,rating-3,rating-3,276250
['Thurgauer Thurweg (Weinfelden – Frauenfeld)'],['difficult'],['Hiking'],23.98km,05:45h,30hm,388 - 444m,rating-3,rating-6,318782
['Glattrüti'],['easy'],['Hiking'],4.17km,01:18h,147hm,"904 - 1,051m",rating-1,rating-2,286205
['Radtour zu den UNESCO-Welterbestätten am Bodensee'],['medium'],['Cycling'],84.53km,05:46h,98hm,392 - 685m,rating-,rating-3,292034
['Panoramaweg Lustdorf – Lustdorf'],['easy'],['Hiking'],13.34km,03:45h,300hm,515 - 696m,rating-2,rating-2,250442
['DenkWeg Glarus Nord'],['easy'],['Thematic route'],4.76km,01:29h,119hm,633 - 739m,rating-1,rating-1,264873
['Thurgauer Rundwanderweg (Bischofszell – Hauptwil)'],['easy'],['Hiking'],2.8km,00:45h,110hm,506 - 614m,rating-1,rating-2,130710
['Kleine Vorderland Rundtour'],['easy'],['Mountainbike'],13.73km,01:55h,442hm,"775 - 1,098m",rating-2,rating-2,1038359
['Fridolinshütte-Claridenhütte (2-Tages-Tour)'],['difficult'],['Hiking'],21.13km,10:29h,"2,230hm","803 - 2,537m",rating-,rating-5,251374
['Schlittelweg Stoss - Altstätten'],[],['Sledge'],4.43km,00:50h,-,463 - 947m,rating-,rating-0,966503
['Lüsis Bike Nr. 475'],['medium'],['Mountainbike'],6.42km,02:00h,870hm,"425 - 1,272m",rating-3,rating-2,131402
['Alp- und Kulturweg Schrina'],['medium'],['Thematic route'],7.75km,03:45h,565hm,"1,280 - 1,717m",rating-,rating-3,131538
['Klimahörpfad St.Gallen'],['easy'],['Thematic route'],5.47km,02:00h,3hm,569 - 685m,rating-,rating-2,205033
['Heidiland Wander Tour 3: Flumserberg - Kleinberg'],['difficult'],['Hiking'],15.08km,05:15h,856hm,"961 - 1,814m",rating-2,rating-5,131474
['Mapragg Stausee'],['easy'],['Hiking'],9.34km,02:43h,241hm,766 - 975m,rating-2,rating-2,286190
['Rundtour Palfries - Sennis'],['medium'],['Hiking'],15.6km,05:15h,611hm,"1,399 - 1,803m",rating-3,rating-4,354745
['Alp Maton - Chimmispitz'],['medium'],['Hiking'],14.11km,04:24h,612hm,"1,189 - 1,802m",rating-2,rating-3,286174
