title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Vergeletto-Capanna Arena-Alpe Porcaresc-Vergeletto'],['medium'],['long-distance walking trail'],28.71km,09:25h,"1,473hm","896 - 1,847m",rating-3,rating-4,1006859
['Der Panoramaweg'],['difficult'],['Hiking'],11.08km,04:31h,847hm,"723 - 1,817m",rating-4,rating-6,549724
['Bosco Gurin-laghetti alpini-Bosco Gurin'],['medium'],['Hiking'],10.54km,05:10h,"1,097hm","1,497 - 2,436m",rating-3,rating-4,272874
['Von Mornera via Alpe Albagno und Cima dell Uomo nach Vogorno'],['medium'],['Hiking'],16.8km,07:00h,"1,175hm","460 - 2,390m",rating-4,rating-4,696090
['Lugano e-MTB Tour - Etappe 4'],['medium'],['Cycling'],49.36km,05:55h,"1,666hm","468 - 1,608m",rating-3,rating-3,1008037
['Diga Verzasca-Mergoscia-Corippo-Lavertezzo'],['medium'],['Hiking'],13.09km,04:20h,707hm,470 - 890m,rating-2,rating-3,525018
['Capriasca Bike - Nr. 359'],['difficult'],['Mountainbike'],23.19km,03:30h,795hm,"513 - 1,620m",rating-3,rating-6,1000642
['Etappe 1: Lodano-Castello-Alpe Canaa'],['medium'],['long-distance walking trail'],7.48km,03:40h,"1,508hm","335 - 1,843m",rating-3,rating-4,272906
['Alzasca Trail'],['difficult'],['Trailrunning'],23.06km,08:00h,"2,079hm","416 - 2,139m",rating-3,rating-5,194345
['Lugano e-MTB Tour - Etappe 2'],['medium'],['Cycling'],48.21km,03:45h,753hm,271 - 938m,rating-3,rating-1,1008017
['Etappe 2: Capanna Tomeo-Pertüs-Monti di Predee-Prato Sornico'],['medium'],['long-distance walking trail'],10.2km,03:54h,419hm,"743 - 2,156m",rating-3,rating-4,272901
['Cimetta Trail'],['medium'],['Trailrunning'],13.24km,02:50h,598hm,"728 - 1,868m",rating-3,rating-3,89333
['Traversa Infinita'],['medium'],['Mountainbike'],22.26km,03:23h,568hm,"276 - 1,875m",rating-4,rating-4,63630
['Lugano Bike Nr.66 - Etappe 1 - Lugano (Monte Brè) – Pairolo'],['difficult'],['Mountainbike'],22.45km,04:05h,"1,225hm","611 - 1,402m",rating-3,rating-6,1000569
['Cimalmotto-Lago di Sfii-Cimalmotto'],['medium'],['Hiking'],12.65km,04:40h,848hm,"1,284 - 1,911m",rating-3,rating-4,272869
['Airolo Bike'],['medium'],['Mountainbike'],20.9km,03:15h,"1,209hm","1,133 - 2,064m",rating-4,rating-4,453523
['Historisch-kultureller Weg'],['easy'],['Thematic route'],6.46km,02:30h,461hm,429 - 890m,rating-1,rating-2,109594
['Origlio Bike Nr. 357'],['easy'],['Mountainbike'],16.57km,01:55h,414hm,334 - 654m,rating-1,rating-1,1000637
['Von Rasa - Pizzo Leone - Corona dei Pinci nach Ronco sopra Ascona'],['medium'],['Hiking'],14.11km,05:28h,778hm,"226 - 1,644m",rating-3,rating-4,336245
['Tessiner Anschlussweg zur Via Jakobi: Giornico - Dalpe'],['difficult'],['Pilgrimage'],16km,05:16h,"1,052hm","384 - 1,431m",rating-1,rating-5,525396
['Etappe 1: Lodano-Castello-Alpe Canaa'],['medium'],['long-distance walking trail'],7.48km,03:40h,"1,508hm","335 - 1,843m",rating-3,rating-4,272906
['Lugano Bike Nr.66 - Etappe 1 - Lugano (Monte Brè) – Pairolo'],['difficult'],['Mountainbike'],22.45km,04:05h,"1,225hm","611 - 1,402m",rating-3,rating-6,1000569
['The San Carlo Church of Negrentino'],['easy'],['long-distance walking trail'],1.78km,00:38h,7hm,617 - 877m,rating-2,rating-2,463042
['Lodano-Soláda-Castèll-Lodano'],['easy'],['long-distance walking trail'],7.11km,03:30h,790hm,362 - 884m,rating-2,rating-2,101618
['Vier - Quellen - Weg: Etappe 4 Zum Quellgebiet Ticino'],['difficult'],['Hiking'],19.77km,07:00h,857hm,"1,350 - 2,447m",rating-5,rating-5,262232
['Lai Blau'],[],['Hiking'],8km,03:00h,550hm,"1,900 - 2,450m",rating-2,rating-3,7873
['Gottardo Bike - Stage 2'],['difficult'],['Mountainbike'],40.27km,07:40h,"1,361hm","892 - 2,376m",rating-5,rating-6,455703
['Kraftorte in Arcegno'],['easy'],['Thematic route'],3.77km,01:09h,142hm,359 - 456m,rating-,rating-1,180173
['Cross Country Circuit Rivera'],['medium'],['Mountainbike'],5.81km,00:45h,89hm,472 - 562m,rating-3,rating-1,1000668
['Monte di Comino Rundwanderung'],['easy'],['Hiking'],4.27km,01:35h,221hm,"1,146 - 1,271m",rating-2,rating-1,1013186
['Valle Verzasca Trail'],['medium'],['Trailrunning'],24.31km,05:00h,"1,070hm",474 - 923m,rating-1,rating-4,89424
['Etappe 1: Giumaglio-Arnau-Costa-Alpe Spluga'],['medium'],['long-distance walking trail'],8.11km,04:01h,"1,542hm","352 - 1,877m",rating-3,rating-4,272889
['Von Sonogno nach Lavertezzo'],['medium'],['Hiking'],14.1km,04:00h,10hm,535 - 922m,rating-2,rating-4,287882
