title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Gemsweg'],['medium'],['Hiking'],7.87km,02:30h,106hm,"1,785 - 2,339m",rating-2,rating-3,601878
['Klettersteig Moiry'],['difficult'],['Via ferrata'],2.52km,02:30h,480hm,"2,108 - 2,311m",rating-,rating-5,92277
['Tour du Grand Chavalard'],['medium'],['Hiking'],15.74km,05:00h,895hm,"1,831 - 2,454m",rating-3,rating-4,175623
['Tärbiner Rundwanderweg'],['medium'],['Winter hiking'],10.17km,02:55h,364hm,"1,351 - 1,682m",rating-2,rating-3,908550
['Valais Vélo Tour 2: Crans-Montana - Leukerbad'],[],['Cycling'],40.97km,03:21h,"1,298hm","540 - 1,804m",rating-,rating-0,179696
['Panorama-Trail'],['medium'],['Snowshoe'],3.41km,01:30h,142hm,"1,982 - 2,121m",rating-3,rating-2,908541
['Col de Cou (The Brazilian)'],['medium'],['Mountainbike'],24.75km,02:59h,492hm,"503 - 2,522m",rating-4,rating-4,63632
['Grächen Loop'],['easy'],['Mountainbike'],10.42km,01:32h,330hm,"1,493 - 1,781m",rating-1,rating-2,310001
['Von Savoleyres zum Bergsee Lac des Vaux'],['medium'],['Hiking'],14.14km,04:30h,381hm,"1,521 - 2,554m",rating-3,rating-4,167055
['Bhutanbrücke'],['easy'],['Hiking'],10.48km,03:15h,335hm,"622 - 1,004m",rating-2,rating-2,185705
['Torgon – Täler & Musts'],['medium'],['Cycling'],12.9km,01:25h,772hm,"394 - 1,142m",rating-4,rating-4,1000698
['Climate Audio Trail'],['difficult'],['Thematic route'],8.03km,04:00h,464hm,"2,638 - 2,914m",rating-5,rating-6,50490
['Dorfrundfahrt Saas-Fee'],['medium'],['Mountainbike'],8.08km,01:10h,260hm,"1,771 - 2,030m",rating-3,rating-3,383161
['Gebirgswald Circular Hike'],['medium'],['Pilgrimage'],9.68km,03:05h,675hm,"1,352 - 1,945m",rating-2,rating-4,14412
['Alpenpässeweg: Simplonpass - Gspon'],['difficult'],['Hiking'],22.79km,07:00h,824hm,"1,885 - 2,483m",rating-,rating-5,170839
"['Der Klettersteig ""via Ferrata Aletsch"" beim Stausee Gibidum']",['medium'],['Via ferrata'],3.37km,04:00h,131hm,"1,434 - 1,500m",rating-,rating-2,132643
['Rundwanderung von Mund nach Finnen'],['medium'],['Hiking'],9.26km,03:15h,435hm,"1,188 - 1,625m",rating-3,rating-4,974662
"['De Chalais aux chalets ... en passant par BRIEY, Vercorin']",['easy'],['Thematic route'],4.71km,01:30h,211hm,"862 - 1,032m",rating-2,rating-2,578557
['Ravensburger Spieleweg: Prinzen-Route'],['easy'],['Thematic route'],7.75km,02:35h,316hm,"1,458 - 1,762m",rating-2,rating-2,82153
['Nufenen - Mythische Alpenpässe'],['difficult'],['Cycling'],13.73km,02:30h,"1,131hm","1,347 - 2,479m",rating-3,rating-5,181289
['Route Nendaz – Nendaz'],['medium'],['Hiking'],12.43km,04:06h,304hm,"1,346 - 1,568m",rating-3,rating-3,63236
['Suonenweg Saas-Almagell - Saas-Grund'],['easy'],['Thematic route'],6.09km,01:30h,187hm,"1,556 - 1,767m",rating-2,rating-2,130942
['Suonenwanderung Bärgeri'],['difficult'],['Hiking'],11.47km,04:30h,519hm,"778 - 1,488m",rating-2,rating-6,132706
['Domhütte'],['difficult'],['Hiking'],5.36km,04:30h,"1,532hm","1,409 - 2,941m",rating-5,rating-5,50511
['Tussen Dent Blanche en Weisshorn'],[],['High tour'],79.37km,33:00h,"6,538hm","1,455 - 4,152m",rating-,rating-0,100391
['Hängebrückenweg Furi'],['easy'],['Thematic route'],2.9km,01:00h,175hm,"1,826 - 1,965m",rating-2,rating-2,51870
['Discovery Trail von Sunnegga nach Riffelalp'],['medium'],['Snowshoe'],5.62km,02:30h,257hm,"2,019 - 2,289m",rating-4,rating-4,1006133
['Alperlebnisweg'],['easy'],['Thematic route'],2.13km,01:30h,140hm,"1,969 - 2,107m",rating-1,rating-2,215082
['Entdeckung des regionalen Erbes'],['medium'],['Cycling'],53.99km,04:04h,506hm,497 - 822m,rating-3,rating-3,668079
['Via Valais Mountain Lodge Ze Seewjinu - Zermatt (Etappe 9)'],['difficult'],['Trailrunning'],26.78km,05:45h,"1,123hm","1,620 - 2,744m",rating-4,rating-5,839112
['Höhenweg Laggintal'],['difficult'],['Hiking'],14.58km,05:30h,990hm,"1,219 - 2,134m",rating-2,rating-5,132592
"['Rote Piste ""MYET"" / Rando-Parc Morgins']",['medium'],['Ski tour'],6.12km,02:30h,711hm,"1,313 - 2,026m",rating-4,rating-4,996867
['Lauchernalp - Blatten'],['easy'],['Hiking'],5.56km,01:30h,89hm,"1,530 - 1,970m",rating-1,rating-2,14259
['EasyTour'],[],['Cycling'],25km,01:00h,624hm,"1,340 - 1,555m",rating-2,rating-2,2560
['Vom Nikolaital über den Augstbordpass ins Turtmanntal'],['medium'],['Hiking'],12.61km,05:10h,"1,011hm","1,822 - 2,893m",rating-3,rating-4,777879
['ZIN-DW - Lac de Moiry 2250'],[],['Hiking'],8.04km,03:00h,88hm,"2,249 - 2,293m",rating-,rating-0,361174
['Biketrail Rothorn - Zermatt'],['easy'],['Mountainbike'],13.33km,00:25h,6hm,"1,620 - 3,103m",rating-2,rating-1,50363
['Mattmark - Staudamm Trophy'],['difficult'],['Cycling'],34.26km,04:00h,"1,556hm","646 - 2,202m",rating-3,rating-5,85936
['Tour du Val d’Hérens: Arolla – Evolène (Etappe 3)'],['medium'],['Hiking'],17.1km,05:10h,342hm,"1,371 - 2,012m",rating-3,rating-3,202109
['Im Sengg'],['easy'],['Hiking'],3.22km,01:15h,300hm,"1,541 - 1,886m",rating-1,rating-2,130895
