title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['TCS-Wanderung: «Ghöch – Frauebrünneli – Ghöch»'],['medium'],['Hiking'],5.47km,01:39h,171hm,"900 - 1,031m",rating-2,rating-3,557303
['Turbenthal - Elgg - Turbenthal: «Mittleres Tösstal»'],['medium'],['Mountainbike'],32.45km,04:00h,880hm,498 - 791m,rating-4,rating-4,136902
['Wila – Schlossberg – Saland: «Von der Wiese auf den Teller»'],['easy'],['Hiking'],7.76km,03:15h,215hm,569 - 772m,rating-2,rating-2,136801
['TCS Wanderung: «Gubel (Sternenberg) – Hörnli – Gubel»'],['medium'],['Hiking'],4.36km,01:31h,254hm,"901 - 1,122m",rating-2,rating-4,557166
['Wolfsgrueb – Tössscheidi – Hüttchopf: «Am Fusse des Tössstocks»'],['medium'],['Hiking'],7.43km,02:45h,525hm,"796 - 1,243m",rating-4,rating-4,460614
['Oberdürnten – Bachtel – Wernetshausen: «die Kurzweilige»'],['easy'],['Snowshoe'],6.26km,02:50h,495hm,"620 - 1,116m",rating-2,rating-2,209131
['Hittnau –  Stoffel: «Nordic Walking Trail Hittnau – Die Anspruchsvolle»'],['difficult'],['Nordic Walking'],14.82km,03:28h,296hm,641 - 879m,rating-4,rating-5,622284
['Winterthur – Hulftegg: «Hörnli Bike»'],['difficult'],['Mountainbike'],44.41km,05:05h,"1,300hm","439 - 1,005m",rating-3,rating-5,729603
['Pfannenstiel'],['medium'],['Racing'],41.15km,02:50h,859hm,406 - 789m,rating-2,rating-3,60282
['Steg – Hulftegg – Steg: «Schnebelhorn und Hörnli»'],['difficult'],['Hiking'],20.71km,06:45h,939hm,"689 - 1,291m",rating-2,rating-6,136787
['Wildberg – Läntschen – Wildberg: «Freddy Fratzel Kinder-Erlebnisweg»'],['easy'],['Hiking'],5.32km,01:40h,130hm,628 - 758m,rating-1,rating-2,136842
